AccNum	GenContext	SIG.TM.PFAM	SIG.TM.LADB	PFAM	Length	GenName	Lineage	Species	Annotation	GI	Lineage.final	Lineage.final.old	Domain	DomArch.norep	GenContext.norep	DA.doms	GC.DA
ANU08486.1	PspA->PspB*->PspC->PspB*->PspB*->	PspB	PspB	SIG	96	A6F65_02201	bacteria>proteobacteria>alphaproteobacteria	Altererythrobacter namhicola	phage shock protein B [Altererythrobacter namhicola]	1044955215	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	PspB	PspA->PspB*->PspC->PspB*->PspB*->	PspB	PspA PspB* PspC PspB* PspB* 
APX66686.1	PspA->PspB*->PspC->TM+PspB*->PspB*->PspB*->	PspB	PspB	SIG	96	AV944_13585	bacteria>proteobacteria>alphaproteobacteria	Sphingomonas sp LK11	phage shock protein B [Sphingomonas sp. LK11]	1134951512	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	PspB	PspA->PspB*->PspC->TM+PspB*->PspB*->PspB*->	PspB	PspA PspB* PspC TM+PspB* PspB* PspB* 
ABF51932.1	<-NtrC-AAA+FIS-HTH||?->PspA->PspB*->PspC->TM+PspB*->TM+PspB*->PspB*->PspB*->	PspB	PspB	SIG	91	Sala_0208	bacteria>proteobacteria>alphaproteobacteria	Sphingopyxis alaskensis RB2256	phage shock B [Sphingopyxis alaskensis RB2256]	98975781	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	PspB	<-NtrC-AAA+FIS-HTH||?->PspA->PspB*->PspC->TM+PspB*->TM+PspB*->PspB*->PspB*->	PspB	 NtrC-AAA+FIS-HTH ? PspA PspB* PspC TM+PspB* TM+PspB* PspB* PspB* 
AIT06080.1	<-NtrC-AAA+FIS-HTH||?->PspA->PspB*->PspC->TM+PspB*->Cluster16_1clades*->PspB*->	PspB	PspB	SIG	90	MC45_06365	bacteria>proteobacteria>alphaproteobacteria	Sphingomonas taxi	phage-shock protein [Sphingomonas taxi]	695169990	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	PspB	<-NtrC-AAA+FIS-HTH||?->PspA->PspB*->PspC->TM+PspB*->Cluster16_1clades*->PspB*->	PspB	 NtrC-AAA+FIS-HTH ? PspA PspB* PspC TM+PspB* Cluster16_1clades* PspB* 
ABQ69290.1	PspA->PspB*->PspC->TM+PspB*->PspB*->PspB*->	PspB	PspB	SIG	89	Swit_2938	bacteria>proteobacteria>alphaproteobacteria	Sphingomonas wittichii RW1	phage shock B family protein [Sphingomonas wittichii RW1]	148501036	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	PspB	PspA->PspB*->PspC->TM+PspB*->PspB*->PspB*->	PspB	PspA PspB* PspC TM+PspB* PspB* PspB* 
ALR19602.1	<-ELM2||?-><-NtrC-AAA+FIS-HTH||?->PspA->PspB*->PspC->PspB*->?->?->?-><-?<-Cluster36_2clades	PspB	PspB	SIG	89	ATN00_04050	bacteria>proteobacteria>alphaproteobacteria	Sphingobium baderi	phage shock protein B [Sphingobium baderi]	959186879	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	PspB	<-ELM2||?-><-NtrC-AAA+FIS-HTH||?->PspA->PspB*->PspC->PspB*->?->?->?-><-?<-Cluster36_2clades	PspB	 ELM2 ? NtrC-AAA+FIS-HTH ? PspA PspB* PspC PspB* ? ? ? ? Cluster36_2clades
AOH85475.1	PspA->PspB*->PspC->TM+PspB*->?->PspB*->	PspB	PspB	SIG	89	AWL63_17565	bacteria>proteobacteria>alphaproteobacteria	Sphingomonas panacis	phage shock protein B [Sphingomonas panacis]	1061227834	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	PspB	PspA->PspB*->PspC->TM+PspB*->?->PspB*->	PspB	PspA PspB* PspC TM+PspB* ? PspB* 
AJP71963.1	PspA->PspB*->PspC->TM+PspB*->PspB*->PspB*->	PspB	PspB	SIG	88	TS85_09450	bacteria>proteobacteria>alphaproteobacteria	Sphingomonas hengshuiensis	phage-shock protein [Sphingomonas hengshuiensis]	761897594	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	PspB	PspA->PspB*->PspC->TM+PspB*->PspB*->PspB*->	PspB	PspA PspB* PspC TM+PspB* PspB* PspB* 
ANI77979.1	PspA->PspB*->PspC->PspB*->?->?->?-><-?<-Cluster36_2clades	PspB	PspB	SIG	88	EP837_01563	bacteria>proteobacteria>alphaproteobacteria	Sphingobium sp EP60837	hypothetical protein EP837_01563 [Sphingobium sp. EP60837]	1034621573	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	PspB	PspA->PspB*->PspC->PspB*->?->?->?-><-?<-Cluster36_2clades	PspB	PspA PspB* PspC PspB* ? ? ? ? Cluster36_2clades
APL95932.1	PspA->PspB*->PspC->?*->PspB*->?->?->?-><-?<-Cluster36_2clades	PspB	PspB	SIG	88	SIDU_16240	bacteria>proteobacteria>alphaproteobacteria	Sphingobium indicum B90A	phage shock protein B [Sphingobium indicum B90A]	1114388770	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	PspB	PspA->PspB*->PspC->?*->PspB*->?->?->?-><-?<-Cluster36_2clades	PspB	PspA PspB* PspC ?* PspB* ? ? ? ? Cluster36_2clades
ABC32109.1	PspA->PspB*->PspC->	PspB	PspB	SIG	87	pspB	bacteria>proteobacteria>gammaproteobacteria	Hahella chejuensis KCTC 2396	probable phage shock protein B [Hahella chejuensis KCTC 2396]	83636142	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	PspA->PspB*->PspC->	PspB	PspA PspB* PspC 
AQA19051.1	<-PspC<-PspB*<-PspA	PspB	PspB	SIG	87	BST95_13190	bacteria>proteobacteria>gammaproteobacteria	Halioglobus japonicus	phage shock protein B [Halioglobus japonicus]	1140134514	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	<-PspC<-PspB*<-PspA	PspB	 PspC PspB* PspA
ACT60597.1	PspA->PspB*->PspC->?->?*->?->?*->	PspB	PspB	SIG	86	Hbal_2928	bacteria>proteobacteria>alphaproteobacteria	Hirschia baltica ATCC 49814	phage shock protein B [Hirschia baltica ATCC 49814]	254043802	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	PspB	PspA->PspB*->PspC->?->?*->?->?*->	PspB	PspA PspB* PspC ? ?* ? ?* 
ABI76709.1	PspA->PspB*->PspC->	PspB	PspB	SIG	85	pspB	bacteria>proteobacteria>alphaproteobacteria	Hyphomonas neptunium ATCC 15444	phage shock protein B [Hyphomonas neptunium ATCC 15444]	114738584	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	PspB	PspA->PspB*->PspC->	PspB	PspA PspB* PspC 
ANG63821.1	PspA->PspB*->PspC->	PspB	PspB	SIG	85	A8C75_15955	bacteria>proteobacteria>gammaproteobacteria	Marinobacterium sp ST5810	phage shock protein B [Marinobacterium sp. ST58-10]	1032357257	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	PspA->PspB*->PspC->	PspB	PspA PspB* PspC 
ADZ89642.1	PspA->PspB*->PspC->	PspB	PspB	SIG	83	Marme_0339	bacteria>proteobacteria>gammaproteobacteria	Marinomonas mediterranea MMB1	phage shock protein B [Marinomonas mediterranea MMB-1]	326544422	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	PspA->PspB*->PspC->	PspB	PspA PspB* PspC 
ABC22018.1	<-PspB*<-PspA	PspB	PspB	SIG	82	Rru_A1217	bacteria>proteobacteria>alphaproteobacteria	Rhodospirillum rubrum ATCC 11170	Phage shock B [Rhodospirillum rubrum ATCC 11170]	83575467	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	PspB	<-PspB*<-PspA	PspB	 PspB* PspA
ABR69345.1	PspA->PspB*->PspC->	PspB	PspB	SIG	82	Mmwyl1_0407	bacteria>proteobacteria>gammaproteobacteria	Marinomonas sp MWYL1	phage shock B family protein [Marinomonas sp. MWYL1]	150835369	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	PspA->PspB*->PspC->	PspB	PspA PspB* PspC 
ADN76787.1	<-NtrC-AAA+FIS-HTH<-?<-ELM2<-?<-?<-?<-PspC<-PspB*<-PspA	PspB	PspB	SIG	82	Fbal_2585	bacteria>proteobacteria>gammaproteobacteria	Ferrimonas balearica DSM 9799	phage shock protein B [Ferrimonas balearica DSM 9799]	307632485	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	<-NtrC-AAA+FIS-HTH<-?<-ELM2<-?<-?<-?<-PspC<-PspB*<-PspA	PspB	 NtrC-AAA+FIS-HTH ? ELM2 ? ? ? PspC PspB* PspA
AEO47730.1	<-PspB*<-PspA	PspB	PspB	SIG	82	F11_06300	bacteria>proteobacteria>alphaproteobacteria	Rhodospirillum rubrum F11	phage shock protein B [Rhodospirillum rubrum F11]	346717715	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	PspB	<-PspB*<-PspA	PspB	 PspB* PspA
AJD53802.1	<-PspB*<-PspA	PspB	PspB	SIG	82	TH3_18500	bacteria>proteobacteria>alphaproteobacteria	Thalassospira xiamenensis M5 DSM 17429	Phage shock protein B [Thalassospira xiamenensis M-5 = DSM 17429]	745811106	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	PspB	<-PspB*<-PspA	PspB	 PspB* PspA
AJQ92604.1	<-PspC<-PspB*<-PspA	PspB	PspB	SIG	82	YC6258_00554	bacteria>proteobacteria>gammaproteobacteria	Gynuella sunshinyii YC6258	hypothetical Protein YC6258_00554 [Gynuella sunshinyii YC6258]	764034370	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	<-PspC<-PspB*<-PspA	PspB	 PspC PspB* PspA
AAV81571.1	<-NtrC-AAA+FIS-HTH<-?<-ELM2<-?<-?<-?<-PspC<-PspB*<-PspA	PspB	PspB	SIG	80	pspB	bacteria>proteobacteria>gammaproteobacteria	Idiomarina loihiensis L2TR	Phage shock protein B [Idiomarina loihiensis L2TR]	56178849	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	<-NtrC-AAA+FIS-HTH<-?<-ELM2<-?<-?<-?<-PspC<-PspB*<-PspA	PspB	 NtrC-AAA+FIS-HTH ? ELM2 ? ? ? PspC PspB* PspA
AEH33395.1	<-PspC<-PspB*<-PspA||NtrC-AAA+FIS-HTH->?->?->?->ABC-ATPase->ABC-ATPase->	PspB	PspB	SIG	80	VAA_02131	bacteria>proteobacteria>gammaproteobacteria	Vibrio anguillarum 775	Phage shock protein B [Vibrio anguillarum 775]	335342112	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	<-PspC<-PspB*<-PspA||NtrC-AAA+FIS-HTH->?->?->?->ABC-ATPase->ABC-ATPase->	PspB	 PspC PspB* PspA NtrC-AAA+FIS-HTH ? ? ? ABC-ATPase ABC-ATPase 
AGM35599.1	<-NtrC-AAA+FIS-HTH<-?<-ELM2<-?<-?<-?<-PspC<-PspB*<-PspA	PspB	PspB	SIG	80	pspB	bacteria>proteobacteria>gammaproteobacteria	Idiomarina loihiensis GSL 199	phage shock protein B [Idiomarina loihiensis GSL 199]	507119219	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	<-NtrC-AAA+FIS-HTH<-?<-ELM2<-?<-?<-?<-PspC<-PspB*<-PspA	PspB	 NtrC-AAA+FIS-HTH ? ELM2 ? ? ? PspC PspB* PspA
AGU57850.1	<-PspC<-PspB*<-PspA||NtrC-AAA+FIS-HTH->?->?->?->ABC-ATPase->ABC-ATPase->	PspB	PspB	SIG	80	N175_09220	bacteria>proteobacteria>gammaproteobacteria	Vibrio anguillarum M3	phage-shock protein [Vibrio anguillarum M3]	537380614	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	<-PspC<-PspB*<-PspA||NtrC-AAA+FIS-HTH->?->?->?->ABC-ATPase->ABC-ATPase->	PspB	 PspC PspB* PspA NtrC-AAA+FIS-HTH ? ? ? ABC-ATPase ABC-ATPase 
BAO43939.1	<-PspC<-PspB*<-PspB*<-PspA	PspB	PspB	SIG	80	TBH_C1009	bacteria>proteobacteria>gammaproteobacteria	Thiolapillus brandeum	phage shock protein B [Thiolapillus brandeum]	574955096	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	<-PspC<-PspB*<-PspB*<-PspA	PspB	 PspC PspB* PspB* PspA
AAN54860.1	PspA->PspB*->PspC*->	PspB	PspB	SIG	79	pspB	bacteria>proteobacteria>gammaproteobacteria	Shewanella oneidensis MR1	phage shock protein B PspB [Shewanella oneidensis MR-1]	24347639	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	PspA->PspB*->PspC*->	PspB	PspA PspB* PspC* 
ABE55759.1	<-PspC<-PspB*<-PspA	PspB	PspB	SIG	79	Sden_2479	bacteria>proteobacteria>gammaproteobacteria	Shewanella denitrificans OS217	phage shock B [Shewanella denitrificans OS217]	91715833	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	<-PspC<-PspB*<-PspA	PspB	 PspC PspB* PspA
ABL99445.1	PspA->PspB*->PspC*->	PspB	PspB	SIG	79	Sama_1238	bacteria>proteobacteria>gammaproteobacteria	Shewanella amazonensis SB2B	phage shock protein B [Shewanella amazonensis SB2B]	119766875	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	PspA->PspB*->PspC*->	PspB	PspA PspB* PspC* 
ADT93853.1	PspA->PspB*->PspC*->	PspB	PspB	SIG	79	Sbal678_1681	bacteria>proteobacteria>gammaproteobacteria	Shewanella baltica OS678	phage shock protein B [Shewanella baltica OS678]	315267000	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	PspA->PspB*->PspC*->	PspB	PspA PspB* PspC* 
ADV53978.1	PspA->PspB*->PspC*->	PspB	PspB	SIG	79	Sput200_1515	bacteria>proteobacteria>gammaproteobacteria	Shewanella putrefaciens 200	phage shock protein B [Shewanella putrefaciens 200]	319425904	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	PspA->PspB*->PspC*->	PspB	PspA PspB* PspC* 
AEF04122.1	<-PspC<-PspB*<-PspA	PspB	PspB	SIG	79	pspB	bacteria>proteobacteria>gammaproteobacteria	Alteromonas naphthalenivorans	phage shock protein B [Alteromonas naphthalenivorans]	332994067	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	<-PspC<-PspB*<-PspA	PspB	 PspC PspB* PspA
AEH13484.1	PspA->PspB*->PspC*->	PspB	PspB	SIG	79	Sbal117_1731	bacteria>proteobacteria>gammaproteobacteria	Shewanella baltica OS117	phage shock protein B [Shewanella baltica OS117]	334863013	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	PspA->PspB*->PspC*->	PspB	PspA PspB* PspC* 
AEP30415.1	<-PspC<-PspB*<-PspA	PspB	PspB	SIG	79	pspB	bacteria>proteobacteria>gammaproteobacteria	Glaciecola nitratireducens FR1064	phage shock protein B [Glaciecola nitratireducens FR1064]	347947065	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	<-PspC<-PspB*<-PspA	PspB	 PspC PspB* PspA
AFS36572.1	PspA->PspB*->PspC->	PspB	PspB	SIG	79	pspB	bacteria>proteobacteria>gammaproteobacteria	Alteromonas macleodii ATCC 27126	phage shock protein B [Alteromonas macleodii ATCC 27126]	406373317	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	PspA->PspB*->PspC->	PspB	PspA PspB* PspC 
AFT73739.1	PspA->PspB*->PspC->	PspB	PspB	SIG	79	pspB	bacteria>proteobacteria>gammaproteobacteria	Alteromonas macleodii str English Channel 673	phage shock protein B [Alteromonas macleodii str. 'English Channel 673']	407244553	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	PspA->PspB*->PspC->	PspB	PspA PspB* PspC 
AFT94549.1	PspA->PspB*->PspC->	PspB	PspB	SIG	79	pspB	bacteria>proteobacteria>gammaproteobacteria	Alteromonas macleodii str Balearic Sea AD45	phage shock protein B [Alteromonas macleodii str. 'Balearic Sea AD45']	407290237	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	PspA->PspB*->PspC->	PspB	PspA PspB* PspC 
AFV84628.1	PspA->PspB*->PspC->	PspB	PspB	SIG	79	pspB	bacteria>proteobacteria>gammaproteobacteria	Alteromonas mediterranea DE1	phage shock protein B [Alteromonas mediterranea DE1]	410818011	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	PspA->PspB*->PspC->	PspB	PspA PspB* PspC 
AGP96636.1	PspA->PspB*->PspC->	PspB	PspB	SIG	79	pspB	bacteria>proteobacteria>gammaproteobacteria	Alteromonas mediterranea UM7	phage shock protein B [Alteromonas mediterranea UM7]	521344872	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	PspA->PspB*->PspC->	PspB	PspA PspB* PspC 
AIF98197.1	PspA->PspB*->PspC->	PspB	PspB	SIG	79	EP13_05475	bacteria>proteobacteria>gammaproteobacteria	Alteromonas australica	phage-shock protein [Alteromonas australica]	666081704	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	PspA->PspB*->PspC->	PspB	PspA PspB* PspC 
AJP43251.1	PspA->PspB*->PspC->	PspB	PspB	SIG	79	EP12_05550	bacteria>proteobacteria>gammaproteobacteria	Alteromonas australica	phage-shock protein [Alteromonas australica]	761522930	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	PspA->PspB*->PspC->	PspB	PspA PspB* PspC 
ALM91414.1	<-PspC<-PspB*<-PspA	PspB	PspB	SIG	79	AOR13_2405	bacteria>proteobacteria>gammaproteobacteria	Alteromonas stellipolaris LMG 21856	Phage shock protein B [Alteromonas stellipolaris LMG 21856]	948569295	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	<-PspC<-PspB*<-PspA	PspB	 PspC PspB* PspA
AMJ74391.1	<-PspC<-PspB*<-PspA	PspB	PspB	SIG	79	AVL57_10705	bacteria>proteobacteria>gammaproteobacteria	Alteromonas stellipolaris	phage shock protein B [Alteromonas stellipolaris]	996017239	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	<-PspC<-PspB*<-PspA	PspB	 PspC PspB* PspA
AMJ81946.1	PspA->PspB*->PspC->	PspB	PspB	SIG	79	AV941_05480	bacteria>proteobacteria>gammaproteobacteria	Alteromonas mediterranea	phage shock protein B [Alteromonas mediterranea]	996024806	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	PspA->PspB*->PspC->	PspB	PspA PspB* PspC 
AMJ86823.1	<-PspC<-PspB*<-PspA	PspB	PspB	SIG	79	AV939_09720	bacteria>proteobacteria>gammaproteobacteria	Alteromonas sp Mac1	phage shock protein B [Alteromonas sp. Mac1]	996029440	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	<-PspC<-PspB*<-PspA	PspB	 PspC PspB* PspA
AMJ90683.1	<-PspC<-PspB*<-PspA	PspB	PspB	SIG	79	AV940_09495	bacteria>proteobacteria>gammaproteobacteria	Alteromonas sp Mac2	phage shock protein B [Alteromonas sp. Mac2]	996033301	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	<-PspC<-PspB*<-PspA	PspB	 PspC PspB* PspA
AMJ94566.1	<-PspC<-PspB*<-PspA	PspB	PspB	SIG	79	AVL56_09840	bacteria>proteobacteria>gammaproteobacteria	Alteromonas addita	phage shock protein B [Alteromonas addita]	996038591	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	<-PspC<-PspB*<-PspA	PspB	 PspC PspB* PspA
AMJ97646.1	PspA->PspB*->PspC->	PspB	PspB	SIG	79	AVL55_05405	bacteria>proteobacteria>gammaproteobacteria	Alteromonas macleodii	phage shock protein B [Alteromonas macleodii]	996043261	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	PspB	PspA->PspB*->PspC->	PspB	PspA PspB* PspC 
