AccNum	SIG.TM.PFAM	SIG.TM.LADB	PFAM	Length	GenName	Species	Lineage	Annotation	GI
AGF72698.1	DUF3046	-	DUF3046	80	A605_08480	Corynebacterium halotolerans YIM 70093 = DSM 44683	bacteria>actinobacteria	hypothetical protein A605_08480 [Corynebacterium halotolerans YIM 70093 = DSM 44683]	451903811
AIZ16524.1	DUF3046	-	DUF3046	80	AH67_06070	Bifidobacterium pseudolongum PV8-2	bacteria>actinobacteria	hypothetical protein AH67_06070 [Bifidobacterium pseudolongum PV8-2]	730568096
ACL29225.1	DUF3046	-	DUF3046	79	BLA_0933	Bifidobacterium animalis subsp. lactis AD011	bacteria>actinobacteria	conserved hypothetical protein [Bifidobacterium animalis subsp. lactis AD011]	219621068
ACZ22236.1	DUF3046	-	DUF3046	79	Sked_23210	Sanguibacter keddieii DSM 10542	bacteria>actinobacteria	hypothetical protein Sked_23210 [Sanguibacter keddieii DSM 10542]	269097800
AFJ16835.1	DUF3046	-	DUF3046	79	W7Y_1115	Bifidobacterium animalis subsp. lactis B420	bacteria>actinobacteria	hypothetical protein W7Y_1115 [Bifidobacterium animalis subsp. lactis B420]	386653705
AFJ18419.1	DUF3046	-	DUF3046	79	W91_1140	Bifidobacterium animalis subsp. lactis Bi-07	bacteria>actinobacteria	hypothetical protein W91_1140 [Bifidobacterium animalis subsp. lactis Bi-07]	386655290
AGW85308.1	DUF3046	-	DUF3046	79	BLAC_05615	Bifidobacterium animalis subsp. lactis ATCC 27673	bacteria>actinobacteria	hypothetical protein BLAC_05615 [Bifidobacterium animalis subsp. lactis ATCC 27673]	546347833
AIA33110.1	DUF3046	-	DUF3046	79	EN10_05650	Bifidobacterium animalis	bacteria>actinobacteria	hypothetical protein EN10_05650 [Bifidobacterium animalis]	640844000
AJC76792.1	DUF3046	-	DUF3046	79	U723_05655	Bifidobacterium animalis subsp. lactis KLDS2.0603	bacteria>actinobacteria	hypothetical protein U723_05655 [Bifidobacterium animalis subsp. lactis KLDS2.0603]	744824115
AJD34223.1	DUF3046	-	DUF3046	79	BAA6_1110	Bifidobacterium animalis	bacteria>actinobacteria	hypothetical protein BAA6_1110 [Bifidobacterium animalis]	745800561
AKK03350.1	DUF3046	-	DUF3046	79	CEPID_07495	Corynebacterium epidermidicanis	bacteria>actinobacteria	putative DUF3046 family protein [Corynebacterium epidermidicanis]	827628057
APX00781.1	DUF3046	-	DUF3046	79	BWQ92_02720	Arthrobacter sp. QXT-31	bacteria>actinobacteria	histidine kinase [Arthrobacter sp. QXT-31]	1134500769 
BAR05243.1	DUF3046	-	DUF3046	79	PSDT_0724	Parascardovia denticolens DSM 10105 = JCM 12538	bacteria>actinobacteria	conserved hypothetical protein [Parascardovia denticolens DSM 10105 = JCM 12538]	781881090
BAS13054.1	DUF3046	-	DUF3046	79	AHiyo8_13570	Arthrobacter sp. Hiyo8	bacteria>actinobacteria	conserved hypothetical protein [Arthrobacter sp. Hiyo8]	910743655
AEK36972.1	DUF3046	-	DUF3046	78	CVAR_1618	Corynebacterium variabile DSM 44702	bacteria>actinobacteria	hypothetical protein CVAR_1618 [Corynebacterium variabile DSM 44702]	340534492
AGH40991.1	DUF3046	-	DUF3046	78	D805_0724	Bifidobacterium thermophilum RBL67	bacteria>actinobacteria	hypothetical protein D805_0724 [Bifidobacterium thermophilum RBL67]	469498465
AGN22492.1	DUF3046	-	DUF3046	78	C629_09470	Corynebacterium glutamicum SCgG2	bacteria>actinobacteria	hypothetical protein C629_09470 [Corynebacterium glutamicum SCgG2]	509090248
AIE82051.1	DUF3046	-	DUF3046	78	FB03_00795	Actinotignum schaalii	bacteria>actinobacteria	hypothetical protein FB03_00795 [Actinotignum schaalii]	663076161
AKT52198.1	DUF3046	-	DUF3046	78	ADJ73_14620	Arsenicicoccus sp. oral taxon 190	bacteria>actinobacteria	histidine kinase [Arsenicicoccus sp. oral taxon 190]	908726409
AKU17300.1	DUF3046	-	DUF3046	78	VV02_17995	Luteipulveratus mongoliensis	bacteria>actinobacteria	histidine kinase [Luteipulveratus mongoliensis]	909834509
BAB99349.1	DUF3046	-	DUF3046	78	Cgl1956	Corynebacterium glutamicum ATCC 13032	bacteria>actinobacteria	Hypothetical protein [Corynebacterium glutamicum ATCC 13032]	21324726
BAF54780.1	DUF3046	-	DUF3046	78	cgR_1786	Corynebacterium glutamicum R	bacteria>actinobacteria	hypothetical protein cgR_1786 [Corynebacterium glutamicum R]	140845781
BAR06841.1	DUF3046	-	DUF3046	78	SCIP_0774	Scardovia inopinata JCM 12537	bacteria>actinobacteria	conserved hypothetical protein [Scardovia inopinata JCM 12537]	781882867
CAF20297.1	DUF3046	-	DUF3046	78	cg2145	Corynebacterium glutamicum ATCC 13032	bacteria>actinobacteria	conserved hypothetical protein [Corynebacterium glutamicum ATCC 13032]	41326134
ACQ80702.1	DUF3046	-	DUF3046	77	Bcav_2452	Beutenbergia cavernae DSM 12333	bacteria>actinobacteria	conserved hypothetical protein [Beutenbergia cavernae DSM 12333]	229566851
ADB10030.1	DUF3046	-	DUF3046	77	BDP_1422	Bifidobacterium dentium Bd1	bacteria>actinobacteria	Conserved hypothetical protein [Bifidobacterium dentium Bd1]	283102924
ADO53433.1	DUF3046	-	DUF3046	77	BBIF_1228	Bifidobacterium bifidum S17	bacteria>actinobacteria	Conserved hypothetical protein [Bifidobacterium bifidum S17]	309251685
ADP36323.1	DUF3046	-	DUF3046	77	BBPR_1271	Bifidobacterium bifidum PRL2010	bacteria>actinobacteria	Conserved hypothetical protein [Bifidobacterium bifidum PRL2010]	310866954
ADP38950.1	DUF3046	-	DUF3046	77	HMPREF0421_20868	Gardnerella vaginalis ATCC 14019	bacteria>actinobacteria	hypothetical protein HMPREF0421_20868 [Gardnerella vaginalis ATCC 14019]	310946246
AEE45699.1	DUF3046	-	DUF3046	77	Celf_1565	Cellulomonas fimi ATCC 484	bacteria>actinobacteria	hypothetical protein Celf_1565 [Cellulomonas fimi ATCC 484]	332339116
AEF31430.1	DUF3046	-	DUF3046	77	HMPREF9231_0701	Gardnerella vaginalis HMP9231	bacteria>actinobacteria	hypothetical protein HMPREF9231_0701 [Gardnerella vaginalis HMP9231]	333393512
AEG44013.1	DUF3046	-	DUF3046	77	Isova_1244	Isoptericola variabilis 225	bacteria>actinobacteria	hypothetical protein Isova_1244 [Isoptericola variabilis 225]	334107123
AEI12550.1	DUF3046	-	DUF3046	77	Celgi_2049	Cellulomonas gilvus ATCC 13127	bacteria>actinobacteria	hypothetical protein Celgi_2049 [Cellulomonas gilvus ATCC 13127]	336104731
AFL04843.1	DUF3046	-	DUF3046	77	BBB_1251	Bifidobacterium bifidum BGN4	bacteria>actinobacteria	hypothetical protein BBB_1251 [Bifidobacterium bifidum BGN4]	389890776
AFU71216.1	DUF3046	-	DUF3046	77	BAST_0628	Bifidobacterium asteroides PRL2011	bacteria>actinobacteria	hypothetical protein BAST_0628 [Bifidobacterium asteroides PRL2011]	408465687
AGC62029.1	SIG+DUF3046	SIG	DUF3046	77	MULP_02141	Mycobacterium liflandii 128FXT	bacteria>actinobacteria	hypothetical protein MULP_02141 [Mycobacterium liflandii 128FXT]	442582886
AHJ15868.1	DUF3046	-	DUF3046	77	B12L_1124	Bifidobacterium breve 12L	bacteria>actinobacteria	Hypothetical protein B12L_1124 [Bifidobacterium breve 12L]	585126494
AHJ21350.1	DUF3046	-	DUF3046	77	B2258_1155	Bifidobacterium breve NCFB 2258	bacteria>actinobacteria	Hypothetical protein B2258_1155 [Bifidobacterium breve NCFB 2258]	585132880
AIF40516.1	DUF3046	-	DUF3046	77	HX89_05690	Dermacoccus nishinomiyaensis	bacteria>actinobacteria	histidine kinase [Dermacoccus nishinomiyaensis]	664687926
AIF90705.1	DUF3046	-	DUF3046	77	GS08_06175	Bifidobacterium longum	bacteria>actinobacteria	hypothetical protein GS08_06175 [Bifidobacterium longum]	666000948
AII74552.1	DUF3046	-	DUF3046	77	BCOR_0535	Bifidobacterium coryneforme	bacteria>actinobacteria	hypothetical protein BCOR_0535 [Bifidobacterium coryneforme]	671340792
AII76492.1	DUF3046	-	DUF3046	77	BADO_1077	Bifidobacterium adolescentis	bacteria>actinobacteria	hypothetical protein BADO_1077 [Bifidobacterium adolescentis]	671342976
AIZ14839.1	DUF3046	-	DUF3046	77	AH68_07075	Bifidobacterium kashiwanohense PV20-2	bacteria>actinobacteria	hypothetical protein AH68_07075 [Bifidobacterium kashiwanohense PV20-2]	730565971
AJE06139.1	DUF3046	-	DUF3046	77	BBMN23_1167	Bifidobacterium adolescentis	bacteria>actinobacteria	hypothetical protein BBMN23_1167 [Bifidobacterium adolescentis]	747124717
AKV55337.1	DUF3046	-	DUF3046	77	AB656_02820	Bifidobacterium actinocoloniiforme DSM 22766	bacteria>actinobacteria	hypothetical protein AB656_02820 [Bifidobacterium actinocoloniiforme DSM 22766]	914248428
ALC98911.1	DUF3046	-	DUF3046	77	AM609_04350	Actinomyces sp. oral taxon 414	bacteria>actinobacteria	hypothetical protein AM609_04350 [Actinomyces sp. oral taxon 414]	925195628
ALE09751.1	DUF3046	-	DUF3046	77	RY67_1739	Bifidobacterium longum subsp. infantis	bacteria>actinobacteria	Hypothetical protein RY67_1739 [Bifidobacterium longum subsp. infantis]	927298552
ALE11744.1	DUF3046	-	DUF3046	77	RY70_1402	Bifidobacterium bifidum	bacteria>actinobacteria	Hypothetical protein RY70_1402 [Bifidobacterium bifidum]	927300639
ALE36433.1	DUF3046	-	DUF3046	77	BBG7_1245	Bifidobacterium longum	bacteria>actinobacteria	hypothetical protein BBG7_1245 [Bifidobacterium longum]	927983841
ALO72722.1	DUF3046	-	DUF3046	77	B8809_1051	Bifidobacterium longum subsp. longum	bacteria>actinobacteria	hypothetical protein B8809_1051 [Bifidobacterium longum subsp. longum]	953517168
ALO74796.1	DUF3046	-	DUF3046	77	BBL306_1267	Bifidobacterium longum subsp. longum	bacteria>actinobacteria	hypothetical protein BBL306_1267 [Bifidobacterium longum subsp. longum]	953519243
AMK57939.1	DUF3046	-	DUF3046	77	Bang102_005335	Bifidobacterium angulatum	bacteria>actinobacteria	hypothetical protein Bang102_005335 [Bifidobacterium angulatum]	998638892
ANC30584.1	DUF3046	-	DUF3046	77	I598_1015	Isoptericola dokdonensis DS-3	bacteria>actinobacteria	hypothetical protein I598_1015 [Isoptericola dokdonensis DS-3]	1024987372 
AOL10231.1	DUF3046	-	DUF3046	77	B624_0750	Bifidobacterium longum	bacteria>actinobacteria	hypothetical protein B624_0750 [Bifidobacterium longum]	1062060419 
AOP01347.1	DUF3046	-	DUF3046	77	BL1206_1309	Bifidobacterium longum subsp. longum	bacteria>actinobacteria	hypothetical protein BL1206_1309 [Bifidobacterium longum subsp. longum]	1064283092 
AQM43268.1	DUF3046	-	DUF3046	77	BBL520_06740	Bifidobacterium breve	bacteria>actinobacteria	hypothetical protein BBL520_06740 [Bifidobacterium breve]	1143276931 
BAJ68555.1	DUF3046	-	DUF3046	77	BLIJ_0965	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	bacteria>actinobacteria	conserved hypothetical protein [Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088]	320457934
BAJ71367.1	DUF3046	-	DUF3046	77	BLIF_1227	Bifidobacterium longum subsp. infantis 157F	bacteria>actinobacteria	conserved hypothetical protein [Bifidobacterium longum subsp. infantis 157F]	320460747
BAP83754.1	DUF3046	-	DUF3046	77	BL105A_1125	Bifidobacterium longum	bacteria>actinobacteria	hypothetical protein BL105A_1125 [Bifidobacterium longum]	716055360
BAQ27349.1	DUF3046	-	DUF3046	77	BBDE_1355	Bifidobacterium dentium JCM 1195 = DSM 20436	bacteria>actinobacteria	conserved hypothetical protein [Bifidobacterium dentium JCM 1195 = DSM 20436]	757806562
BAQ29470.1	DUF3046	-	DUF3046	77	BBKW_1335	Bifidobacterium kashiwanohense JCM 15439 = DSM 21854	bacteria>actinobacteria	conserved hypothetical protein [Bifidobacterium kashiwanohense JCM 15439 = DSM 21854]	757808684
BAQ33349.1	DUF3046	-	DUF3046	77	GAVG_0697	Gardnerella vaginalis ATCC 14018 = JCM 11026	bacteria>actinobacteria	conserved hypothetical protein [Gardnerella vaginalis ATCC 14018 = JCM 11026]	757812565
BAQ96239.1	DUF3046	-	DUF3046	77	BBAG_0617	Bifidobacterium angulatum DSM 20098 = JCM 7096	bacteria>actinobacteria	conserved hypothetical protein [Bifidobacterium angulatum DSM 20098 = JCM 7096]	781871248
BAQ98466.1	DUF3046	-	DUF3046	77	BBBF_1259	Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456	bacteria>actinobacteria	conserved hypothetical protein [Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456]	781873718
BAR00220.1	DUF3046	-	DUF3046	77	BBBR_1181	Bifidobacterium breve DSM 20213 = JCM 1192	bacteria>actinobacteria	conserved hypothetical protein [Bifidobacterium breve DSM 20213 = JCM 1192]	781875628
BAR02111.1	DUF3046	-	DUF3046	77	BBCT_1143	Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043	bacteria>actinobacteria	conserved hypothetical protein [Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043]	781877747
BAR03877.1	DUF3046	-	DUF3046	77	BBPC_1199	Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505	bacteria>actinobacteria	conserved hypothetical protein [Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505]	781879635
CAN02089.1	DUF3046	-	DUF3046	77	CMM_2026	Clavibacter michiganensis subsp. michiganensis NCPPB 382	bacteria>actinobacteria	conserved hypothetical protein [Clavibacter michiganensis subsp. michiganensis NCPPB 382]	147831137
CAQ01322.1	DUF3046	-	DUF3046	77	CMS1207	Clavibacter michiganensis subsp. sepedonicus	bacteria>actinobacteria	conserved hypothetical protein [Clavibacter michiganensis subsp. sepedonicus]	169156180
CCE75930.1	DUF3046	-	DUF3046	77	CMN_01988	Clavibacter michiganensis subsp. nebraskensis NCPPB 2581	bacteria>actinobacteria	conserved hypothetical protein [Clavibacter michiganensis subsp. nebraskensis NCPPB 2581]	472822385
AIC47295.1	DUF3046	-	DUF3046	76	Rhola_00004760	Rhodoluna lacicola	bacteria>actinobacteria	Protein of unknown function (DUF3046) [Rhodoluna lacicola]	649018545
ALE18512.1	DUF3046	-	DUF3046	76	AL705_00880	Lawsonella clevelandensis	bacteria>actinobacteria	hypothetical protein AL705_00880 [Lawsonella clevelandensis]	927370098
AMB58952.1	DUF3046	-	DUF3046	76	AWU67_08840	Microterricola viridarii	bacteria>actinobacteria	signal transduction histidine kinase [Microterricola viridarii]	984368351
ANJ27434.1	DUF3046	-	DUF3046	76	ATC03_12665	Agromyces aureus	bacteria>actinobacteria	signal transduction histidine kinase [Agromyces aureus]	1035532615 
ADH92382.1	DUF3046	-	DUF3046	75	Arch_0648	Arcanobacterium haemolyticum DSM 20595	bacteria>actinobacteria	hypothetical protein Arch_0648 [Arcanobacterium haemolyticum DSM 20595]	296931574
AGG67084.1	DUF3046	-	DUF3046	75	H924_08210	Corynebacterium callunae DSM 20147	bacteria>actinobacteria	hypothetical protein H924_08210 [Corynebacterium callunae DSM 20147]	459384793
AMT94326.1	DUF3046	-	DUF3046	75	A2T55_11500	Brevibacterium linens	bacteria>actinobacteria	histidine kinase [Brevibacterium linens]	1013857488 
ANP28187.1	DUF3046	TraK-HTH	DUF3046	75	DAD186_16370	Dermabacter vaginalis	bacteria>actinobacteria	hypothetical protein DAD186_16370 [Dermabacter vaginalis]	1041929821 
AOP54205.1	DUF3046	-	DUF3046	75	BLSMQ_2499	Brevibacterium linens	bacteria>actinobacteria	hypothetical protein BLSMQ_2499 [Brevibacterium linens]	1066957691 
AOY56230.1	DUF3046	-	DUF3046	75	A4Z71_04510	Candidatus Rhodoluna planktonica	bacteria>actinobacteria	hypothetical protein A4Z71_04510 [Candidatus Rhodoluna planktonica]	1092202166 
AOZ72869.1	DUF3046	-	DUF3046	75	BK816_05810	Actinomyces sp. VUL4_3	bacteria>actinobacteria	hypothetical protein BK816_05810 [Actinomyces sp. VUL4_3]	1095164819 
APB00150.1	DUF3046	-	DUF3046	75	NS506_06113	Nocardia seriolae	bacteria>actinobacteria	hypothetical protein NS506_06113 [Nocardia seriolae]	1098541364 
ABK02853.1	DUF3046	-	DUF3046	74	Arth_1459	Arthrobacter sp. FB24	bacteria>actinobacteria	conserved hypothetical protein [Arthrobacter sp. FB24]	116610129
ABM07901.1	DUF3046	-	DUF3046	74	AAur_1593	Paenarthrobacter aurescens TC1	bacteria>actinobacteria	conserved hypothetical protein [Paenarthrobacter aurescens TC1]	119948990
ACL39450.1	DUF3046	-	DUF3046	74	Achl_1461	Pseudarthrobacter chlorophenolicus A6	bacteria>actinobacteria	conserved hypothetical protein [Pseudarthrobacter chlorophenolicus A6]	219859108
ACU84900.1	DUF3046	-	DUF3046	74	Bfae_10520	Brachybacterium faecium DSM 4810	bacteria>actinobacteria	hypothetical protein Bfae_10520 [Brachybacterium faecium DSM 4810]	256559053
ADP41035.1	DUF3046	-	DUF3046	74	HMPREF0733_11578	Rothia dentocariosa ATCC 17931	bacteria>actinobacteria	hypothetical protein HMPREF0733_11578 [Rothia dentocariosa ATCC 17931]	310944741
AGW41876.1	DUF3046	-	DUF3046	74	O159_18530	Leifsonia xyli subsp. cynodontis DSM 46306	bacteria>actinobacteria	hypothetical protein O159_18530 [Leifsonia xyli subsp. cynodontis DSM 46306]	545576764
AIV39789.1	DUF3046	-	DUF3046	74	NI26_05375	Curtobacterium sp. MR_MD2014	bacteria>actinobacteria	signal transduction histidine kinase [Curtobacterium sp. MR_MD2014]	703597829
AJM77404.1	DUF3046	-	DUF3046	74	TI83_04480	Rathayibacter toxicus	bacteria>actinobacteria	hypothetical protein TI83_04480 [Rathayibacter toxicus]	756778937
AJW80505.1	DUF3046	-	DUF3046	74	VO01_09370	Clavibacter michiganensis subsp. insidiosus	bacteria>actinobacteria	signal transduction histidine kinase [Clavibacter michiganensis subsp. insidiosus]	772245232
AKU64692.1	DUF3046	-	DUF3046	74	ADJ76_01945	Actinomyces meyeri	bacteria>actinobacteria	hypothetical protein ADJ76_01945 [Actinomyces meyeri]	913013736
AKV85368.1	DUF3046	-	DUF3046	74	AKG07_02625	Microbacterium sp. CGR1	bacteria>actinobacteria	signal transduction histidine kinase [Microbacterium sp. CGR1]	914697926
ALD13179.1	DUF3046	-	DUF3046	74	AES38_09865	Clavibacter michiganensis subsp. capsici	bacteria>actinobacteria	signal transduction histidine kinase [Clavibacter michiganensis subsp. capsici]	926442211
ALD63430.1	DUF3046	-	DUF3046	74	AFL94_05215	Arthrobacter sp. LS16	bacteria>actinobacteria	histidine kinase [Arthrobacter sp. LS16]	927031814
ALG30772.1	DUF3046	-	DUF3046	74	AOZ07_05825	Arthrobacter halophytocola	bacteria>actinobacteria	histidine kinase [Arthrobacter halophytocola]	930828071
ALQ31324.1	DUF3046	-	DUF3046	74	ATC04_12665	Arthrobacter sp. YC-RL1	bacteria>actinobacteria	histidine kinase [Arthrobacter sp. YC-RL1]	957777562
ALS56700.1	DUF3046	-	DUF3046	74	APU90_01995	Rathayibacter toxicus	bacteria>actinobacteria	hypothetical protein APU90_01995 [Rathayibacter toxicus]	961558512
ALV40280.1	DUF3046	-	DUF3046	74	AU252_03100	Pseudarthrobacter sulfonivorans	bacteria>actinobacteria	histidine kinase [Pseudarthrobacter sulfonivorans]	971340096
AMD88283.1	DUF3046	-	DUF3046	74	AXF14_12750	Actinomyces radicidentis	bacteria>actinobacteria	hypothetical protein AXF14_12750 [Actinomyces radicidentis]	987452844
AMG84315.1	DUF3046	-	DUF3046	74	AXH82_13590	Microbacterium sp. PAMC 28756	bacteria>actinobacteria	signal transduction histidine kinase [Microbacterium sp. PAMC 28756]	991921107
AMM20556.1	DUF3046	-	DUF3046	74	AX769_10865	Frondihabitans sp. PAMC 28766	bacteria>actinobacteria	signal transduction histidine kinase [Frondihabitans sp. PAMC 28766]	1001853323 
AND16148.1	DUF3046	-	DUF3046	74	A6122_0998	Rathayibacter tritici	bacteria>actinobacteria	hypothetical protein A6122_0998 [Rathayibacter tritici]	1026622747 
ANF31093.1	DUF3046	-	DUF3046	74	A0130_04830	Leifsonia xyli	bacteria>actinobacteria	signal transduction histidine kinase [Leifsonia xyli]	1029984836 
AOX44970.1	DUF3046	-	DUF3046	74	BJP65_03485	Microbacterium sp. BH3-3-3	bacteria>actinobacteria	signal transduction histidine kinase [Microbacterium sp. BH3-3-3]	1084380285 
AOX67444.1	DUF3046	-	DUF3046	74	BJK06_02085	Curtobacterium sp. BH-2-1-1	bacteria>actinobacteria	signal transduction histidine kinase [Curtobacterium sp. BH-2-1-1]	1087726369 
APF33787.1	DUF3046	-	DUF3046	74	BO218_05920	Microbacterium paludicola	bacteria>actinobacteria	signal transduction histidine kinase [Microbacterium paludicola]	1109118684 
APH44768.1	DUF3046	-	DUF3046	74	BMW26_07195	Microbacterium sp. 1.5R	bacteria>actinobacteria	signal transduction histidine kinase [Microbacterium sp. 1.5R]	1111284625 
APX34451.1	DUF3046	-	DUF3046	74	BH708_19015	Brachybacterium sp. P6-10-X1	bacteria>actinobacteria	hypothetical protein BH708_19015 [Brachybacterium sp. P6-10-X1]	1134534653 
