AccNum	Query	ClustID	ClustName	GenContext	PFAM	DomArch	arch.TMSIG	Length	GenName	Lineage	Species.old	Annotation	GI
XP_019075239.1	pspa	000001.1454	 PspA	-	PspA_IM30	PspA	-	269	LOC100250774	eukaryota>viridiplantae	Vitis vinifera	PREDICTED: membrane-associated 30 kDa protein, chloroplastic isoform X1 [Vitis vinifera]	1105488124
ABK04124.1	pspa	000001.1454	 PspA	PspA*->	PspA_IM30	PspA	SIG	268	Arth_2745	bacteria>actinobacteria	Arthrobacter sp. FB24	phage shock protein A, PspA [Arthrobacter sp. FB24]	116611400
AHC13510.1	pspa	000001.1454	 PspA	Methyltrans_RNA->?-><-?<-?||adh_short->?->Cluster41_7clades->PspA*->	PspA_IM30	PspA	-	268	L21SP2_0064	bacteria>spirochaetes	Salinispira pacifica	Phage shock protein A [Salinispira pacifica]	565679479
ABM77373.1	pspa	000001.1454	 PspA	PspA*->	PspA_IM30	PspA	-	267	pspA	bacteria>cyanobacteria	Prochlorococcus marinus str. MIT 9303	membrane-associated 30 kDa protein [Prochlorococcus marinus str. MIT 9303]	123962617
ACA98304.1	pspa	000001.1454	 PspA	<-PspA*	PspA_IM30	PspA	-	267	SYNPCC7002_A0294	bacteria>cyanobacteria	Synechococcus sp. PCC 7002	VIPP1 protein [Synechococcus sp. PCC 7002]	169884591
AGF52637.1	pspa	000001.1454	 PspA	<-PspA*	PspA_IM30	PspA	-	267	im30	bacteria>cyanobacteria	Synechocystis sp. PCC 6803	membrane-associated 30 kD protein [Synechocystis sp. PCC 6803]	451781668
AIE73368.1	pspa	000001.1454	 PspA	PspA*-><-GDP_Man_Dehyd<-PRC	PspA_IM30	PspA	-	267	vipp1	bacteria>cyanobacteria	Synechocystis sp. PCC 6714	Phage shock protein A [Synechocystis sp. PCC 6714]	662703393
ALJ68561.1	pspa	000001.1454	 PspA	<-PspA*	PspA_IM30	PspA	-	267	AOY38_12375	bacteria>cyanobacteria	Synechocystis sp. PCC 6803	hypothetical protein AOY38_12375 [Synechocystis sp. PCC 6803]	939197229
ANV86262.1	pspa	000001.1454	 PspA	<-PspA*	PspA_IM30	PspA	-	267	AWQ22_01540	bacteria>cyanobacteria	Synechococcus sp. PCC 7117	hypothetical protein AWQ22_01540 [Synechococcus sp. PCC 7117]	1046567826
ANV89433.1	pspa	000001.1454	 PspA	<-PspA*	PspA_IM30	PspA	-	267	AWQ24_01570	bacteria>cyanobacteria	Synechococcus sp. PCC 8807	hypothetical protein AWQ24_01570 [Synechococcus sp. PCC 8807]	1046571003
BAA10345.1	pspa	000001.1454	 PspA	<-PspA*	PspA_IM30	PspA	-	267	im30	bacteria>cyanobacteria	Synechocystis sp. PCC 6803	chloroplast membrane-associated 30 kD protein [Synechocystis sp. PCC 6803]	1001614
BAK51130.1	pspa	000001.1454	 PspA	<-PspA*	PspA_IM30	PspA	-	267	vipp1	bacteria>cyanobacteria	Synechocystis sp. PCC 6803	plasma membrane protein essential for thylakoid formation [Synechocystis sp. PCC 6803]	339274643
BAM54067.1	pspa	000001.1454	 PspA	PspA*->	PspA_IM30	PspA	-	267	im30	bacteria>firmicutes	Bacillus subtilis BEST7613	hypothetical protein BEST7613_5136 [Synechocystis sp. PCC 6803]	407960827
BAM54305.1	pspa	000001.1454	 PspA	PspA*->	PspA_IM30	PspA	-	267	im30	bacteria>firmicutes	Bacillus subtilis BEST7613	hypothetical protein BEST7613_5374 [Synechocystis sp. PCC 6803]	407961065
CAE21536.1	pspa	000001.1454	 PspA	<-PspA*||?-><-?<-?||SIG+ENOYCOADEHYD->	PspA_IM30	PspA	-	267	PMT_1361	bacteria>cyanobacteria	Prochlorococcus marinus str. MIT 9313	similar to chloroplast membrane-associated 30 kD protein [Prochlorococcus marinus str. MIT 9313]	33635211
XP_019075241.1	pspa	000001.1454	 PspA	-	PspA_IM30	PspA	-	267	LOC100250774	eukaryota>viridiplantae	Vitis vinifera	PREDICTED: membrane-associated 30 kDa protein, chloroplastic isoform X2 [Vitis vinifera]	1105488126
AKF05312.1	pspa	000001.1454	 PspA	Cluster41_7clades->PspA*->	PspA_IM30	PspA	SIG	266	DB32_002461	bacteria>proteobacteria>deltaproteobacteria	Sandaracinus amylolyticus	Phage shock protein A [Sandaracinus amylolyticus]	816955806
ABW28983.1	pspa	000001.1454	 PspA	<-PspA*	PspA_IM30	PspA	TraM	264	AM1_3998	bacteria>cyanobacteria	Acaryochloris marina MBIC11017	PspA/IM30 family protein [Acaryochloris marina MBIC11017]	158307366
AFY61722.1	pspa	000001.1454	 PspA	PspA*->	PspA_IM30	PspA	-	264	Syn6312_2626	bacteria>cyanobacteria	Synechococcus sp. PCC 6312	phage shock protein A (IM30), suppresses sigma54-dependent transcription [Synechococcus sp. PCC 6312]	427377770
AFZ01145.1	pspa	000001.1454	 PspA	-	PspA_IM30	PspA	-	264	Cal6303_2121	bacteria>cyanobacteria	Calothrix sp. PCC 6303	phage shock protein A, PspA [Calothrix sp. PCC 6303]	428235355
AFZ43425.1	pspa	000001.1454	 PspA	<-Thioredoxin<-PspA*	PspA_IM30	PspA	-	264	PCC7418_1223	bacteria>cyanobacteria	Halothece sp. PCC 7418	phage shock protein A, PspA [Halothece sp. PCC 7418]	428690131
APX03304.1	pspa	000001.1454	 PspA	<-PspA*	PspA_IM30	PspA	SIG	264	BWQ92_17680	bacteria>actinobacteria	Arthrobacter sp. QXT-31	hypothetical protein BWQ92_17680 [Arthrobacter sp. QXT-31]	1134503292
BAU05644.1	pspa	000001.1454	 PspA	<-PspA*<-PspA*	PspA_IM30	PspA	-	264	FIS3754_15500	bacteria>cyanobacteria	Fischerella sp. NIES-3754	similar to chloroplast membrane-associated 30 kD protein [Fischerella sp. NIES-3754]	965686502
ACL40433.1	pspa	000001.1454	 PspA	PspA*->	PspA_IM30	PspA	SIG	263	Achl_2468	bacteria>actinobacteria	Pseudarthrobacter chlorophenolicus A6	phage shock protein A, PspA [Pseudarthrobacter chlorophenolicus A6]	219860091
ADN15405.1	pspa	000001.1454	 PspA	-	PspA_IM30	PspA	-	263	Cyan7822_3458	bacteria>cyanobacteria	Cyanothece sp. PCC 7822	phage shock protein A, PspA [Cyanothece sp. PCC 7822]	306983524
ADX73730.1	pspa	000001.1454	 PspA	PspA*->	PspA_IM30	PspA	SIG	263	Asphe3_26060	bacteria>actinobacteria	Pseudarthrobacter phenanthrenivorans Sphe3	phage shock protein A, PspA [Pseudarthrobacter phenanthrenivorans Sphe3]	323470045
AFW96445.1	pspa	000001.1454	 PspA	<-PspA*<-PspA*	PspA_IM30	PspA	-	263	ANA_C13799	bacteria>cyanobacteria	Anabaena sp. 90	phage shock protein A PspA [Anabaena sp. 90]	413972356
AFZ50964.1	pspa	000001.1454	 PspA	PspA*->Thioredoxin->	PspA_IM30	PspA	-	263	Dacsa_2354	bacteria>cyanobacteria	Dactylococcopsis salina PCC 8305	phage shock protein A (IM30), suppresses sigma54-dependent transcription [Dactylococcopsis salina PCC 8305]	428694814
ALB41721.1	pspa	000001.1454	 PspA	<-PspA*<-PspA*	PspA_IM30	PspA	-	263	AA650_15755	bacteria>cyanobacteria	Anabaena sp. WA102	membrane protein [Anabaena sp. WA102]	924289957
ALV42823.1	pspa	000001.1454	 PspA	<-PspA*	PspA_IM30	PspA	SIG+KptA-ART	263	AU252_18055	bacteria>actinobacteria	Pseudarthrobacter sulfonivorans	hypothetical protein AU252_18055 [Pseudarthrobacter sulfonivorans]	971342639
OBQ10009.1	pspa	000001.1454	 PspA	<-PspA*<-PspA*	PspA_IM30	PspA	-	263	AN490_08640	bacteria>cyanobacteria	Anabaena sp. AL09	hypothetical protein AN490_08640 [Anabaena sp. AL09]	1039164687
OBQ14250.1	pspa	000001.1454	 PspA	<-PspA*<-PspA*	PspA_IM30	PspA	-	263	AN482_02210	bacteria>cyanobacteria	Anabaena sp. LE011-02	hypothetical protein AN482_02210 [Anabaena sp. LE011-02]	1039169046
OBQ17016.1	pspa	000001.1454	 PspA	<-PspA*<-PspA*	PspA_IM30	PspA	-	263	AN486_16620	bacteria>cyanobacteria	Anabaena sp. AL93	hypothetical protein AN486_16620 [Anabaena sp. AL93]	1039172356
OBQ42099.1	pspa	000001.1454	 PspA	-	PspA_IM30	PspA	-	263	AN485_00175	bacteria>cyanobacteria	Anabaena sp. MDT14b	hypothetical protein AN485_00175 [Anabaena sp. MDT14b]	1039201274
AFR29769.1	pspa	000001.1454	 PspA	<-SIG+CR-Trypsin3+PDZ||?->PspA*->	PspA_IM30	PspA	-	262	ARUE_c28810	bacteria>actinobacteria	Arthrobacter sp. Rue61a	hypothetical protein ARUE_c28810 [Arthrobacter sp. Rue61a]	403230347
AFY37289.1	pspa	000001.1454	 PspA	PspA*->	PspA_IM30	PspA	-	262	Lepto7376_0915	bacteria>cyanobacteria	Leptolyngbya sp. PCC 7376	phage shock protein A, PspA [Leptolyngbya sp. PCC 7376]	427354566
AFY45345.1	pspa	000001.1454	 PspA	<-PspA*<-PspA*	PspA_IM30	PspA	-	262	Nos7107_4826	bacteria>cyanobacteria	Nostoc sp. PCC 7107	phage shock protein A (PspA) family protein [Nostoc sp. PCC 7107]	427362623
