AccNum	DomArch	DomArch.repeats	GenContext	GenContext.repeats	Lineage	Species	GeneName	Length	GCA_ID
AQS09885.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PadR-HTH->ahelical+TM(s)->	PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Clostridium saccharobutylicum	CLOBY_20240	327	GCA_002003365.1
AQS14081.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PadR-HTH->ahelical+TM(s)->	PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Clostridium saccharobutylicum	CLOSACC_19140	327	GCA_002003385.1
AGX42899.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PadR-HTH->ahelical+TM(s)->	PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Clostridium saccharobutylicum DSM 13864	CLSA_c19140	329	GCA_000473995.1
AOR25133.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PadR-HTH->ahelical+TM(s)->	PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Clostridium taeniosporum	BGI42_15435	322	GCA_001735765.1
EEV38836.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	ABC-ATPase->X->PadR-HTH->ahelical+TM(s)->	ABC-ATPase->?->PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Enterococcus casseliflavus EC20	ECBG_01105	319	GCA_000157355.2
AQL54270.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PadR-HTH->ahelical+TM(s)->	PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Enterococcus faecalis	BZG32_11405	342	GCA_001989555.1
ADX80854.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PadR-HTH->ahelical+TM(s)->	PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Enterococcus faecalis 62	EF62_2645	342	GCA_000211255.2
AFO44926.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PadR-HTH->ahelical+TM(s)->	PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Enterococcus faecalis D32	EFD32_2044	342	GCA_000281195.1
AHI41278.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PadR-HTH->ahelical+TM(s)->	PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Enterococcus faecalis DENG1	DENG_02383	342	GCA_000550745.1
AAO82145.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PadR-HTH->ahelical+TM(s)->	PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Enterococcus faecalis V583	EF_2427	342	GCA_000007785.1
AMG50535.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	ABC-ATPase->X->PadR-HTH->ahelical+TM(s)->	ABC-ATPase->?->PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Enterococcus gallinarum	AL523_12635	319	GCA_001558875.1
BAO06768.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PadR-HTH->ahelical+TM(s)->	PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Enterococcus mundtii QU 25	EMQU_1211	318	GCA_000504125.1
ALS00820.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PadR-HTH->ahelical+TM(s)->	PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Enterococcus silesiacus	ATZ33_05385	323	GCA_001465115.1
ALX09590.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PadR-HTH->ahelical+TM(s)->	PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Hungateiclostridium thermocellum AD2	AD2_02608	322	GCA_000255615.3
ABN53141.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PadR-HTH->ahelical+TM(s)->	PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Hungateiclostridium thermocellum ATCC 27405	Cthe_1922	322	GCA_000015865.1
ADU75597.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PadR-HTH->ahelical+TM(s)->	PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Hungateiclostridium thermocellum DSM 1313	Clo1313_2596	322	GCA_000184925.1
ANV77362.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PadR-HTH->ahelical+TM(s)->	PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Hungateiclostridium thermocellum DSM 2360	LQRI_2621	322	GCA_001692755.1
APZ48311.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PadR-HTH->ahelical+TM(s)->X->||<-SIG+PBPB<-ABC-ATPase<-SIG+TM(s)	PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->?->||<-SIG+PBPB<-ABC-ATPase<-SIG+TM+TM+TM+TM	bacteria>firmicutes	Jeotgalibaca sp PTS2502	BW721_00635	323	GCA_001975685.1
CAQ65909.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	SIG+TM(s)+MED15+TM(s)->X(s)->PadR-HTH->ahelical+TM(s)->	SIG+TM+TM+MED15+TM+TM+TM+TM->?->||<-?||?->||<-?||?->PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Lactobacillus casei BL23	LCABL_07860	346	GCA_000026485.1
AEA56292.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PadR-HTH->ahelical+TM(s)->tRNA->tRNA->||<-X<-Nitroreductase-like	PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->tRNA->tRNA->||<-?<-Nitroreductase-like	bacteria>firmicutes	Lactobacillus paracasei	LCBD_0794	346	GCA_000194765.1
AEA53127.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PadR-HTH->ahelical+TM(s)->tRNA->tRNA->||<-X<-Nitroreductase-like	PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->tRNA->tRNA->||<-?<-Nitroreductase-like	bacteria>firmicutes	Lactobacillus paracasei	LC2W_0793	346	GCA_000194785.1
AGP67562.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PadR-HTH->ahelical+TM(s)->tRNA->tRNA->||<-X<-Nitroreductase-like	PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->tRNA->tRNA->||<-?<-Nitroreductase-like	bacteria>firmicutes	Lactobacillus paracasei	LOCK919_0822	346	GCA_000418515.1
AKU58831.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PadR-HTH->ahelical+TM(s)->tRNA->tRNA->X(s)<-Nitroreductase-like	PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->tRNA->tRNA->?->||<-?<-?<-Nitroreductase-like	bacteria>firmicutes	Lactobacillus paracasei	LPL9_0777	345	GCA_001244395.1
ABJ69558.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	SIG+TM(s)+MED15+TM(s)->X(s)->PadR-HTH->ahelical+TM(s)->	SIG+TM+TM+MED15+TM+TM+TM+TM->?->||<-?||?->||<-?||?->PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Lactobacillus paracasei ATCC 334	LSEI_0721	346	GCA_000014525.1
AHJ32150.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	SIG+TM(s)+MED15+TM(s)->X(s)->PadR-HTH->ahelical+TM(s)->	SIG+TM+TM+MED15+TM+TM+TM+TM->?->||<-?||?->||<-?||?->PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Lactobacillus paracasei N1115	AF91_02755	346	GCA_000582665.1
EEQ67336.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	SIG+TM(s)+MED15+TM(s)->X(s)->PadR-HTH->ahelical+TM(s)->tRNA->tRNA->||<-X<-Nitroreductase-like	SIG+TM+TM+MED15+TM+TM+TM+TM->?->||<-?||?->||<-?||?->PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->tRNA->tRNA->||<-?<-Nitroreductase-like	bacteria>firmicutes	Lactobacillus paracasei subsp paracasei 8700:2	LBPG_02785	346	GCA_000155515.2
BAN70945.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	SIG+TM(s)+MED15+TM(s)->X(s)->PadR-HTH->ahelical+TM(s)->	SIG+TM+TM+MED15+TM+TM+TM+TM->?->||<-?||?->||<-?||?->PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Lactobacillus paracasei subsp paracasei JCM 8130	LBPC_0649	346	GCA_000829035.1
AER63540.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	SIG+TM(s)+MED15+TM(s)->X(s)->PadR-HTH->ahelical+TM(s)->	SIG+TM+TM+MED15+TM+TM+TM+TM->?->||<-?||?->||<-?||?->PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Lactobacillus rhamnosus ATCC 8530	LRHK_703	335	GCA_000233755.1
CAR86603.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	SIG+TM(s)+MED15+TM(s)->X(s)->PadR-HTH->ahelical+TM(s)->tRNA->tRNA->||<-X<-Nitroreductase-like	SIG+TM+TM+MED15+TM+TM+TM+TM->?->||<-?||?->||<-?||?->PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->tRNA->tRNA->||<-?<-Nitroreductase-like	bacteria>firmicutes	Lactobacillus rhamnosus GG	LGG_00708	335	GCA_000026505.1
AGP70502.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	SIG+TM(s)+MED15+TM(s)->X(s)->PadR-HTH->ahelical+TM(s)->tRNA->tRNA->||<-X<-Nitroreductase-like||X(s)<-REC+OmpR-HTH	SIG+TM+TM+MED15+TM+TM+TM+TM->?->||<-?||?->||<-?||?->PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->tRNA->tRNA->||<-?<-Nitroreductase-like||?->||<-?<-REC+OmpR-HTH	bacteria>firmicutes	Lactobacillus rhamnosus LOCK900	LOCK900_0650	335	GCA_000418475.1
AGP73379.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	SIG+TM(s)+MED15+TM(s)->X(s)->PadR-HTH->ahelical+TM(s)->	SIG+TM+TM+MED15+TM+TM+TM+TM->?->||<-?||?->||<-?||?->PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Lactobacillus rhamnosus LOCK908	LOCK908_0698	335	GCA_000418495.1
CAR89539.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	SIG+TM(s)+MED15+TM(s)->X(s)->PadR-HTH->ahelical+TM(s)->	SIG+TM+TM+MED15+TM+TM+TM+TM->?->||<-?||?->||<-?||?->PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Lactobacillus rhamnosus Lc 705	LC705_00700	335	GCA_000026525.1
API89678.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	ABC-ATPase->X(s)->PadR-HTH->ahelical+TM(s)->||<-X(s)->REC+OmpR-HTH->PSE->X->SIG+TM+HAMP+HISKIN->	ABC-ATPase->?->||<-?<-?||?->PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->||<-?||?->REC+OmpR-HTH->PSE->?->SIG+TM+HAMP+HISKIN->	bacteria>firmicutes	Marinilactibacillus sp 15R	BKP56_10595	326	GCA_001895285.1
AIQ55834.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PadR-HTH->ahelical+TM(s)->	PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Paenibacillus borealis	PBOR_01790	324	GCA_000758665.1
AIQ74944.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PadR-HTH->ahelical+TM(s)->	PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Paenibacillus odorifer	PODO_17725	320	GCA_000758725.1
CQR51722.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PadR-HTH->ahelical+TM(s)->	PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Paenibacillus riograndensis SBR5	PRIO_0457	262	GCA_000981585.1
AIQ15563.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PadR-HTH->ahelical+TM(s)->X(s)->SIG+PBPB->SIG+TM(s)->ABC-ATPase->	PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->?->?->?->?->SIG+PBPB->SIG+TM+TM+TM+TM->ABC-ATPase->	bacteria>firmicutes	Paenibacillus sp FSL H70357	H70357_01730	323	GCA_000758525.1
AIQ27120.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PAS(s)+HISKIN+REC->X(s)->PadR-HTH->ahelical+TM(s)->X(s)->SIG+PBPB->SIG+TM(s)->	PAS+PAS+PAS+PAS+PAS+PAS+HISKIN+REC->?->?->PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->?->?->?->?->?->SIG+PBPB->SIG+TM+TM+TM+TM->	bacteria>firmicutes	Paenibacillus sp FSL P40081	P40081_02105	324	GCA_000758565.1
AIQ38937.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	PadR-HTH->ahelical+TM(s)->	PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Paenibacillus sp FSL R50912	R50912_01900	324	GCA_000758605.1
AOF48179.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	<-SIG+ParBC<-X(s)||PadR-HTH->ahelical+TM(s)->	<-SIG+ParBC<-?<-?||PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->	bacteria>firmicutes	Tetragenococcus halophilus	AC806_01395	326	GCA_001712815.1
AQP54114.1	ahelical+TM(s)	ahelical+TM+TM+TM+TM+TM+TM	FAD-NAD-dep-oxidoreductase->||<-X||PadR-HTH->ahelical+TM(s)->PadR-HTH->X->ABC-ATPase->	FAD-NAD-dep-oxidoreductase->||<-?||PadR-HTH->ahelical+TM+TM+TM+TM+TM+TM->PadR-HTH->?->ABC-ATPase->	bacteria>firmicutes	Vagococcus penaei	BW732_07700	314	GCA_001998885.1
ACO31974.1	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	PSYN->PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->	PSYN->PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->	bacteria>acidobacteria	Acidobacterium capsulatum ATCC 51196	ACP_0872	878	GCA_000022565.1
ACO34360.1	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	<-ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX<-PadR-HTH||X->PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->X->||<-ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX<-PadR-HTH	<-ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX<-PadR-HTH||?->PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->?->||<-ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX<-PadR-HTH	bacteria>acidobacteria	Acidobacterium capsulatum ATCC 51196	ACP_1526	846	GCA_000022565.1
ACO32024.1	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->	PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->	bacteria>acidobacteria	Acidobacterium capsulatum ATCC 51196	ACP_2125	888	GCA_000022565.1
ACO31668.1	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->||<-X(s)||PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->||<-?<-?<-?<-?||PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->	bacteria>acidobacteria	Acidobacterium capsulatum ATCC 51196	ACP_3213	885	GCA_000022565.1
ACO33001.1	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->	PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->	bacteria>acidobacteria	Acidobacterium capsulatum ATCC 51196	ACP_3514	893	GCA_000022565.1
ABF40891.1	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->	PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->	bacteria>acidobacteria	Candidatus Koribacter versatilis Ellin345	Acid345_1890	883	GCA_000014005.1
ABF41048.1	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->	PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->	bacteria>acidobacteria	Candidatus Koribacter versatilis Ellin345	Acid345_2047	882	GCA_000014005.1
ABF43284.1	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	<-REC+OmpR-HTH<-X(s)->PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->	<-REC+OmpR-HTH<-?||?->?->?->PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->	bacteria>acidobacteria	Candidatus Koribacter versatilis Ellin345	Acid345_4284	871	GCA_000014005.1
ABF43395.1	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->||<-X||SIGMA-HTH->	PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->||<-?||SIGMA-HTH->	bacteria>acidobacteria	Candidatus Koribacter versatilis Ellin345	Acid345_4395	879	GCA_000014005.1
ABJ82727.1	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	SIG+MED2->||<-X||PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->	SIG+MED2->||<-?||PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->	bacteria>acidobacteria	Candidatus Solibacter usitatus Ellin6076	Acid_1737	862	GCA_000014905.1
ABJ82755.1	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->X(s)||SIG+MacB_PCD+TM+FtsX+TM+MacB_PCD+TM+FtsX->	PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->?->||<-?||SIG+MacB_PCD+TM+FtsX+TM+MacB_PCD+TM+FtsX->	bacteria>acidobacteria	Candidatus Solibacter usitatus Ellin6076	Acid_1765	890	GCA_000014905.1
ABJ83296.1	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	<-SIG+7TMR-DISMED1||X(s)->SIG+DUF2141->SIG+TM(s)->REC+OmpR-HTH->PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->||<-X<-PadR-HTH	<-SIG+7TMR-DISMED1||?->?->SIG+DUF2141->SIG+TM+TM->REC+OmpR-HTH->PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->||<-?<-PadR-HTH	bacteria>acidobacteria	Candidatus Solibacter usitatus Ellin6076	Acid_2307	882	GCA_000014905.1
ABJ83777.1	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	SIG+PA+Peptidase_M28->X->||<-DUF1801<-PAS(s)+HISKIN+REC<-REC+OmpR-HTH<-X||ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->	SIG+PA+Peptidase_M28->?->||<-DUF1801<-PAS+PAS+PAS+HISKIN+REC<-REC+OmpR-HTH<-?||ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->	bacteria>acidobacteria	Candidatus Solibacter usitatus Ellin6076	Acid_2791	853	GCA_000014905.1
ABJ84034.1	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	SIG+MED15->X(s)->PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->||<-SIG+MacB_PCD+TM+FtsX+TM+MacB_PCD+TM+FtsX<-PadR-HTH	SIG+MED15->?->?->?->?->?->PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->||<-SIG+MacB_PCD+TM+FtsX+TM+MacB_PCD+TM+FtsX<-PadR-HTH	bacteria>acidobacteria	Candidatus Solibacter usitatus Ellin6076	Acid_3055	878	GCA_000014905.1
ABJ84531.1	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->SIG+FN3+Calcineurin->||<-X||Mbetalac->	PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->SIG+FN3+Calcineurin->||<-?||Mbetalac->	bacteria>acidobacteria	Candidatus Solibacter usitatus Ellin6076	Acid_3559	881	GCA_000014905.1
ABJ84807.1	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	<-SIG+IES1<-SIG+TM(s)<-X<-Pkinase+TPR(s)<-SIGMA-HTH||PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->	<-SIG+IES1<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM<-?<-Pkinase+TPR+TPR+TPR<-SIGMA-HTH||PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->	bacteria>acidobacteria	Candidatus Solibacter usitatus Ellin6076	Acid_3838	868	GCA_000014905.1
ABJ84958.1	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	<-DSBH<-FMN_red||X->PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->	<-DSBH<-FMN_red||?->PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->	bacteria>acidobacteria	Candidatus Solibacter usitatus Ellin6076	Acid_3991	876	GCA_000014905.1
ABJ85754.1	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX	PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->||<-IES1<-X<-MED2	PadR-HTH->ahelical+MacB_PCD+FtsX+MacB_PCD+FtsX->||<-IES1<-?<-MED2	bacteria>acidobacteria	Candidatus Solibacter usitatus Ellin6076	Acid_4795	879	GCA_000014905.1
