words	freq
Cluster887_2clades	3
HAM	3
HDRnase	3
InPase	3
PEP-utilisers-C	3
PHP+ICAD+ComEA-HHH+N-OB	3
PspC(s)*	3
PspC+TM(s)+PspC*	3
SIG+PUA	3
SWIRM	3
UbE1	3
ZNR	3
Cluster1000_2clades	2
Cluster1021_2clades	2
Cluster1026_2clades	2
Cluster1034_2clades	2
Cluster1042_2clades	2
Cluster1049_2clades	2
Cluster1055_2clades	2
Cluster1058_2clades	2
Cluster1063_2clades	2
Cluster1065_2clades	2
Cluster1111_2clades	2
Cluster1115_2clades	2
Cluster1136_2clades	2
Cluster1172_2clades	2
Cluster1265_2clades	2
Cluster1273_2clades	2
Cluster1289_2clades	2
Cluster83_1clades*	2
Cluster948_2clades	2
Cluster964_2clades	2
Cluster966_2clades	2
Cluster977_2clades	2
Cluster982_2clades	2
Cluster992_2clades	2
HhH-RADC	2
HMA	2
KOW	2
LDcluster4	2
N-OB	2
PEP-utilisers-N+PEP-utilisers(s)-C	2
PspC+TM(s)+LiaI-LiaF-TM*	2
PTSEIIC+TM+PTSEIIB(s)	2
REase	2
RnasePH(s)+KH+S1	2
SAM-methylase	2
SIG+NarQ+PhospholipaseD	2
SIG+PspC+TM(s)+Toast-rack*	2
SIG+RnaseH	2
SIG+SET	2
SIG+TM(s)+Ferredoxin-RRM	2
SIG+ZNR+PspC*	2
SIR2	2
SPOUT	2
TET-JBP	2
TM*	2
XIS-HTH+T-OB	2
Cluster1086_2clades	1
PspB+PspC*	1
PspC+PspB*	1
PspC+TM(s)+Toast-rack	1
