AccNum	GenContext	SIG.TM.PFAM	SIG.TM.LADB	PFAM	Length	GenName	Species	Lineage	Annotation	GI	Lineage.final	Lineage.final.old	Domain	DomArch.norep	GenContext.norep	DA.doms	GC.DA
AGF73678.1	NYN-><-PspA*<-Thioredoxin:trxA	PspA_IM30	-	PspA_IM30	316	A605_13410	Corynebacterium halotolerans YIM 70093 DSM 44683	bacteria>actinobacteria	hypothetical protein A605_13410 [Corynebacterium halotolerans YIM 70093 = DSM 44683]	451904791	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	NYN-><-PspA*<-Thioredoxin:trxA	PspA_IM30	NYN PspA* Thioredoxin:trxA
NP_001130281.1	Snf7*->	SIG+PspA_IM30	SIG	PspA_IM30	316	GRMZM2G017077	Zea mays	eukaryota>viridiplantae	IM30 protein-like protein [Zea mays]	212274505	eukaryota>archaeplastida>viridiplantae	eukaryota>archaeplastida>viridiplantae	eukaryota	SIG+PspA_IM30	Snf7*->	SIG PspA_IM30	Snf7* 
XP_005539259.1	Snf7*->	PspA_IM30	-	PspA_IM30	314	CYME_CMT244C	Cyanidioschyzon merolae strain 10D	eukaryota>rhodophyta	vesicle-inducing protein in plastids 1VIPP1 [Cyanidioschyzon merolae strain 10D]	544218231	eukaryota>archaeplastida>rhodophyta	eukaryota>archaeplastida>rhodophyta	eukaryota	PspA_IM30	Snf7*->	PspA_IM30	Snf7* 
AFZ04705.1	<-PspA*	PspA_IM30	-	PspA_IM30	312	Osc7112_0061	Oscillatoria nigroviridis PCC 7112	bacteria>cyanobacteria	phage shock protein A (PspA) family protein [Oscillatoria nigro-viridis PCC 7112]	428238919	bacteria>cyanobacteria	bacteria>cyanobacteria	bacteria	PspA_IM30	<-PspA*	PspA_IM30	 PspA*
AKM07641.1	<-PspF:Sigma54+HTH||?->PspA*->PspB->PspC+PspB-new->PspB-new->PspB-new->PspB-new->PspB-new->	PspA_IM30	-	PspA_IM30	312	AM2010_1572	Altererythrobacter marensis	bacteria>proteobacteria>alphaproteobacteria	phage-shock protein [Altererythrobacter marensis]	831205804	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	PspA_IM30	<-PspF:Sigma54+HTH||?->PspA*->PspB->PspC+PspB->PspB->PspB->PspB->PspB->	PspA_IM30	 PspF:Sigma54+HTH ? PspA* PspB PspC+PspB PspB PspB PspB PspB 
XP_003056665.1	Snf7*->	SIG+PspA_IM30	SIG+EnteCD	PspA_IM30	312	MICPUCDRAFT_37369	Micromonas pusilla CCMP1545	eukaryota>viridiplantae>chlorophyta	predicted protein [Micromonas pusilla CCMP1545]	303274699	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota	SIG+PspA_IM30	Snf7*->	SIG PspA_IM30	Snf7* 
ALE16981.1	PspA*->PspB->PspC+PspB-new->PspB-new->PspB-new->PspB-new->	PspA_IM30	-	PspA_IM30	311	AMC99_01690	Altererythrobacter epoxidivorans	bacteria>proteobacteria>alphaproteobacteria	Phage shock protein A [Altererythrobacter epoxidivorans]	927349970	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	PspA_IM30	PspA*->PspB->PspC+PspB->PspB->PspB->PspB->	PspA_IM30	PspA* PspB PspC+PspB PspB PspB PspB 
CAJ64360.1	<-PspM:SIG+TMs<-PspA*	PspA_IM30	SIG	PspA_IM30	311	FRAAL5728	Frankia alni ACN14a	bacteria>actinobacteria	Phage shock protein [Frankia alni ACN14a]	111152619	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	<-PspM:SIG+TMs<-PspA*	PspA_IM30	 PspM:SIG+TMs PspA*
EWM22149.1	PspA*->	SIG+PspA_IM30	SIG	PspA_IM30	311	Naga_100064g8	Nannochloropsis gaditana	eukaryota>stramenopiles	membrane-associated 30 kda protein [Nannochloropsis gaditana]	585102570	eukaryota>sar>stramenopiles	eukaryota>sar>stramenopiles	eukaryota	SIG+PspA_IM30	PspA*->	SIG PspA_IM30	PspA* 
BAK37222.1	<-X?<-PspA*	PspA_IM30+PAT1	SFII-RAD3	PspA_IM30+PAT1	309	MLP_42080	Microlunatus phosphovorus NM1	bacteria>actinobacteria	hypothetical protein MLP_42080 [Microlunatus phosphovorus NM-1]	334687637	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30+PAT1	<-X?<-PspA*	PspA_IM30 PAT1	 X? PspA*
ANY19549.1	<-PspB-new<-PspB-new<-PspB-new<-PspC+PspB-new<-PspB<-PspA*<-?||PspF:Sigma54+HTH->	PspA_IM30	-	PspA_IM30	308	pspA	Altererythrobacter dongtanensis	bacteria>proteobacteria>alphaproteobacteria	Phage shock protein A [Altererythrobacter dongtanensis]	1049199351	bacteria>proteobacteria>alphaproteobacteria	bacteria>proteobacteria>alphaproteobacteria	bacteria	PspA_IM30	<-PspB<-PspB<-PspB<-PspC+PspB<-PspB<-PspA*<-?||PspF:Sigma54+HTH->	PspA_IM30	 PspB PspB PspB PspC+PspB PspB PspA* ? PspF:Sigma54+HTH 
ABW10664.1	PspA*->PspM:SIG+TMs->	PspA_IM30	SIG	PspA_IM30	307	Franean1_1210	Frankia sp EAN1pec	bacteria>actinobacteria	phage shock protein A, PspA [Frankia sp. EAN1pec]	158108467	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	PspA*->PspM:SIG+TMs->	PspA_IM30	PspA* PspM:SIG+TMs 
AMJ45586.1	NYN-><-PspA*<-Thioredoxin:trxA	PspA_IM30	SIG	PspA_IM30	307	AW169_12590	Corynebacterium stationis	bacteria>actinobacteria	hypothetical protein AW169_12590 [Corynebacterium stationis]	995960577	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	NYN-><-PspA*<-Thioredoxin:trxA	PspA_IM30	NYN PspA* Thioredoxin:trxA
APT96041.1	NYN-><-PspA*<-Thioredoxin:trxA	PspA_IM30	SIG	PspA_IM30	307	CSTAT_12480	Corynebacterium stationis	bacteria>actinobacteria	hypothetical protein CSTAT_12480 [Corynebacterium stationis]	1129936749	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	NYN-><-PspA*<-Thioredoxin:trxA	PspA_IM30	NYN PspA* Thioredoxin:trxA
XP_005843842.1	<-Snf7*	SIG+PspA_IM30	SIG	PspA_IM30	306	CHLNCDRAFT_59172	Chlorella variabilis	eukaryota>viridiplantae>chlorophyta	hypothetical protein CHLNCDRAFT_59172 [Chlorella variabilis]	552812993	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota	SIG+PspA_IM30	<-Snf7*	SIG PspA_IM30	 Snf7*
AGP31985.1	<-SIG+TMs-MFS:EmrB<-PspA*<-Thioredoxin:trxA	SIG+PspA_IM30	SIG	PspA_IM30	305	A606_11730	Corynebacterium terpenotabidum Y11	bacteria>actinobacteria	rod-shaped morphology protein [Corynebacterium terpenotabidum Y-11]	521019433	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	SIG+PspA_IM30	<-SIG+TMs-MFS:EmrB<-PspA*<-Thioredoxin:trxA	SIG PspA_IM30	 SIG+TMs-MFS:EmrB PspA* Thioredoxin:trxA
APT92360.1	<-YCII||PgsA:CDP-OH_P_transf+TMs->CinA->ClgR:HTH->PspA*-><-?<-ABC-ATPase<-?||DUF3046->	PspA_IM30	SIG	PspA_IM30	305	CPHO_05020	Corynebacterium phocae	bacteria>actinobacteria	hypothetical protein CPHO_05020 [Corynebacterium phocae]	1129931772	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	<-YCII||PgsA:CDP-OH_P_transf+TMs->CinA->ClgR:HTH->PspA*-><-?<-ABC-ATPase<-?||DUF3046->	PspA_IM30	 YCII PgsA:CDP-OH_P_transf+TMs CinA ClgR:HTH PspA* ? ABC-ATPase ? DUF3046 
AFM04466.1	PspA*->	PspA_IM30	SIG	PspA_IM30	304	Fleli_2083	Bernardetia litoralis DSM 6794	bacteria>bacteroidetes	phage shock protein A (IM30), suppresses sigma54-dependent transcription [Bernardetia litoralis DSM 6794]	390528736	bacteria>fcb group	bacteria>fcb group>bacteroidetes	bacteria	PspA_IM30	PspA*->	PspA_IM30	PspA* 
AHI21255.1	NYN-><-PspA*<-Thioredoxin:trxA	PspA_IM30	SIG	PspA_IM30	304	CCASEI_13525	Corynebacterium casei LMG S19264	bacteria>actinobacteria	hypothetical protein CCASEI_13525 [Corynebacterium casei LMG S-19264]	582017909	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	NYN-><-PspA*<-Thioredoxin:trxA	PspA_IM30	NYN PspA* Thioredoxin:trxA
EJK65858.1	PspA*->	SIG+PspA_IM30	SIG	PspA_IM30	303	THAOC_13240	Thalassiosira oceanica	eukaryota>stramenopiles	hypothetical protein THAOC_13240 [Thalassiosira oceanica]	397620704	eukaryota>sar>stramenopiles	eukaryota>sar>stramenopiles	eukaryota	SIG+PspA_IM30	PspA*->	SIG PspA_IM30	PspA* 
CBW75307.1	PspA*->SIG+TPR+TM->	SIG+PspA_IM30	SIG	PspA_IM30	302	RBRH_00134	Paraburkholderia rhizoxinica HKI 454	bacteria>proteobacteria>betaproteobacteria	Phage shock protein A [Paraburkholderia rhizoxinica HKI 454]	312168304	bacteria>proteobacteria>betaproteobacteria	bacteria>proteobacteria>betaproteobacteria	bacteria	SIG+PspA_IM30	PspA*->SIG+TPR+TM->	SIG PspA_IM30	PspA* SIG+TPR+TM 
XP_011395983.1	Snf7*->	SIG+PspA_IM30	SIG	PspA_IM30	301	F751_3304	Auxenochlorella protothecoides	eukaryota>viridiplantae>chlorophyta	Membrane-associated protein VIPP1, chloroplastic [Auxenochlorella protothecoides]	760437829	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota	SIG+PspA_IM30	Snf7*->	SIG PspA_IM30	Snf7* 
XP_005840801.1	<-Snf7*	SIG+PspA_IM30	SIG+IES3	PspA_IM30	300	GUITHDRAFT_150304	Guillardia theta CCMP2712	eukaryota>cryptophyta	hypothetical protein GUITHDRAFT_150304 [Guillardia theta CCMP2712]	551676094	eukaryota>others	eukaryota>cryptophyta	eukaryota	SIG+PspA_IM30	<-Snf7*	SIG PspA_IM30	 Snf7*
APT83618.1	NYN-><-PspA*<-Thioredoxin:trxA	PspA_IM30	SIG	PspA_IM30	299	CAMM_12190	Corynebacterium ammoniagenes DSM 20306	bacteria>actinobacteria	hypothetical protein CAMM_12190 [Corynebacterium ammoniagenes DSM 20306]	1129916947	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	NYN-><-PspA*<-Thioredoxin:trxA	PspA_IM30	NYN PspA* Thioredoxin:trxA
AQS74605.1	NYN-><-PspA*<-Thioredoxin:trxA	PspA_IM30	SIG	PspA_IM30	299	CA40472_12475	Corynebacterium ammoniagenes	bacteria>actinobacteria	hypothetical protein CA40472_12475 [Corynebacterium ammoniagenes]	1148988881	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	NYN-><-PspA*<-Thioredoxin:trxA	PspA_IM30	NYN PspA* Thioredoxin:trxA
ACM57206.1	PspA*->	PspA_IM30	-	PspA_IM30	297	Hlac_1621	Halorubrum lacusprofundi ATCC 49239	archaea>euryarchaeota	phage shock protein A, PspA [Halorubrum lacusprofundi ATCC 49239]	222452941	archaea>euryarchaeota	archaea>euryarchaeota	archaea	PspA_IM30	PspA*->	PspA_IM30	PspA* 
AJK69961.1	NYN-><-PspA*<-Thioredoxin:trxA||?->?->?-><-?<-ABC-ATPase	PspA_IM30	-	PspA_IM30	297	B840_11965	Corynebacterium marinum DSM 44953	bacteria>actinobacteria	35 kDa protein [Corynebacterium marinum DSM 44953]	755973085	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	NYN-><-PspA*<-Thioredoxin:trxA||?->?->?-><-?<-ABC-ATPase	PspA_IM30	NYN PspA* Thioredoxin:trxA ? ? ? ? ABC-ATPase
XP_001756475.1	<-Snf7*	SIG+PspA_IM30	SIG	PspA_IM30	297	PHYPADRAFT_117800	Physcomitrella patens	eukaryota>viridiplantae	predicted protein [Physcomitrella patens]	168007558	eukaryota>archaeplastida>viridiplantae	eukaryota>archaeplastida>viridiplantae	eukaryota	SIG+PspA_IM30	<-Snf7*	SIG PspA_IM30	 Snf7*
CEL97660.1	PspA*->	SIG+PspA_IM30	SIG	PspA_IM30	296	Vbra_12245	Vitrella brassicaformis CCMP3155	eukaryota>alveolata	unnamed protein product [Vitrella brassicaformis CCMP3155]	873237509	eukaryota>sar>alveolata	eukaryota>sar>alveolata	eukaryota	SIG+PspA_IM30	PspA*->	SIG PspA_IM30	PspA* 
ADD05844.1	PspA*->	PspA_IM30	-	PspA_IM30	295	pspA	Natrialba magadii ATCC 43099	archaea>euryarchaeota	PspA domain protein [Natrialba magadii ATCC 43099]	289531493	archaea>euryarchaeota	archaea>euryarchaeota	archaea	PspA_IM30	PspA*->	PspA_IM30	PspA* 
ADP79206.1	PspA*->	PspA_IM30	SIG	PspA_IM30	295	FraEuI1c_1133	Frankia inefficax	bacteria>actinobacteria	phage shock protein A, PspA [Frankia inefficax]	311226351	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	PspA*->	PspA_IM30	PspA* 
AFH52966.1	NYN-><-PspA*	PspA_IM30	SIG	PspA_IM30	295	pspA1	Corynebacterium pseudotuberculosis 267	bacteria>actinobacteria	Phage shock protein A [Corynebacterium pseudotuberculosis 267]	383805887	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	NYN-><-PspA*	PspA_IM30	NYN PspA*
AFH91815.1	NYN-><-PspA*	PspA_IM30	SIG	PspA_IM30	295	pspA1	Corynebacterium pseudotuberculosis 31	bacteria>actinobacteria	Phage shock protein A [Corynebacterium pseudotuberculosis 31]	384478019	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	NYN-><-PspA*	PspA_IM30	NYN PspA*
AIG06256.1	NYN-><-PspA*	PspA_IM30	SIG	PspA_IM30	295	CPTA_00427	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	hypothetical protein CPTA_00427 [Corynebacterium pseudotuberculosis]	666102379	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	NYN-><-PspA*	PspA_IM30	NYN PspA*
AIG09158.1	PspA*-><-NYN	PspA_IM30	SIG	PspA_IM30	295	CPTB_01102	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	hypothetical protein CPTB_01102 [Corynebacterium pseudotuberculosis]	666107390	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	PspA*-><-NYN	PspA_IM30	PspA* NYN
AIG11059.1	PspA*-><-NYN	PspA_IM30	SIG	PspA_IM30	295	CPTC_00771	Corynebacterium pseudotuberculosis	bacteria>actinobacteria	hypothetical protein CPTC_00771 [Corynebacterium pseudotuberculosis]	666111000	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	PspA*-><-NYN	PspA_IM30	PspA* NYN
CBH48016.1	<-YCII<-?||PgsA:CDP-OH_P_transf+TMs->CinA->ClgR:HTH->PspA*->PspM:SIG+TMs-><-?<-ABC-ATPase	SIG+PspA_IM30	SIG	PspA_IM30	295	REQ_19540	Rhodococcus equi 103S	bacteria>actinobacteria	putative phage shock protein [Rhodococcus equi 103S]	311888704	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	SIG+PspA_IM30	<-YCII<-?||PgsA:CDP-OH_P_transf+TMs->CinA->ClgR:HTH->PspA*->PspM:SIG+TMs-><-?<-ABC-ATPase	SIG PspA_IM30	 YCII ? PgsA:CDP-OH_P_transf+TMs CinA ClgR:HTH PspA* PspM:SIG+TMs ? ABC-ATPase
CCH34177.1	<-PspM:SIG+TMs<-PspA*	PspA_IM30	-	PspA_IM30	295	BN6_69410	Saccharothrix espanaensis DSM 44229	bacteria>actinobacteria	hypothetical protein BN6_69410 [Saccharothrix espanaensis DSM 44229]	407886534	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	<-PspM:SIG+TMs<-PspA*	PspA_IM30	 PspM:SIG+TMs PspA*
AEH36555.1	PspA*->	PspA_IM30	-	PspA_IM30	294	Halxa_1928	Halopiger xanaduensis SH6	archaea>euryarchaeota	phage shock protein A, PspA [Halopiger xanaduensis SH-6]	335337316	archaea>euryarchaeota	archaea>euryarchaeota	archaea	PspA_IM30	PspA*->	PspA_IM30	PspA* 
AEK38331.1	<-PspA*<-Thioredoxin:trxA||?->ADH_short->	SIG+PspA_IM30	SIG	PspA_IM30	294	rsmP	Corynebacterium variabile DSM 44702	bacteria>actinobacteria	rod-shaped morphology protein [Corynebacterium variabile DSM 44702]	340535851	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	SIG+PspA_IM30	<-PspA*<-Thioredoxin:trxA||?->ADH_short->	SIG PspA_IM30	 PspA* Thioredoxin:trxA ? ADH_short 
AIJ16285.1	PspA*->X?->LiaS:SIG+TMs+HisKin->LiaR:REC+HTH->	PspA_IM30	-	PspA_IM30	294	SLIV_26870	Streptomyces lividans TK24	bacteria>actinobacteria	hypothetical protein SLIV_26870 [Streptomyces lividans TK24]	672372403	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	PspA*->X?->LiaS:SIG+TMs+HisKin->LiaR:REC+HTH->	PspA_IM30	PspA* X? LiaS:SIG+TMs+HisKin LiaR:REC+HTH 
AKE42181.1	NYN-><-PspA*<-Thioredoxin:trxA	PspA_IM30	-	PspA_IM30	294	pspA1	Corynebacterium kutscheri	bacteria>actinobacteria	phage shock protein A (PspA) family protein [Corynebacterium kutscheri]	814963815	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	NYN-><-PspA*<-Thioredoxin:trxA	PspA_IM30	NYN PspA* Thioredoxin:trxA
ESS03235.1	PspA*->	PspA_IM30	-	PspA_IM30	294	A07HR67_01630	uncultured archaeon A07HR67	archaea	phage shock protein A (PspA) family protein [uncultured archaeon A07HR67]	557609639	archaea>others	archaea	archaea	PspA_IM30	PspA*->	PspA_IM30	PspA* 
AKZ55312.1	<-X?<-PspA*	PspA_IM30	-	PspA_IM30	293	SAM23877_2263	Streptomyces ambofaciens ATCC 23877	bacteria>actinobacteria	hypothetical protein SAM23877_2263 [Streptomyces ambofaciens ATCC 23877]	917648643	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	<-X?<-PspA*	PspA_IM30	 X? PspA*
ACR17865.1	ABC-ATPase->?-><-PspA*<-ClgR:HTH<-CinA<-PgsA:CDP-OH_P_transf+TMs	PspA_IM30	-	PspA_IM30	292	ckrop_1117	Corynebacterium kroppenstedtii DSM 44385	bacteria>actinobacteria	conserved hypothetical protein [Corynebacterium kroppenstedtii DSM 44385]	237758615	bacteria>actinobacteria	bacteria>actinobacteria>actinobacteria	bacteria	PspA_IM30	ABC-ATPase->?-><-PspA*<-ClgR:HTH<-CinA<-PgsA:CDP-OH_P_transf+TMs	PspA_IM30	ABC-ATPase ? PspA* ClgR:HTH CinA PgsA:CDP-OH_P_transf+TMs
