AccNum	GenContext	SIG.TM.PFAM	SIG.TM.LADB	PFAM	Length	GenName	Lineage	Species	Annotation	GI	Lineage.final	Lineage.final.old	Domain	DomArch.norep	GenContext.norep	DA.doms	GC.DA
AOI64157.1	<-SIG+TM<-?<-?<-?<-Cluster27_3clades<-SIG+TM<-SIG+TM+TM+TM+TM+TM*	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM	737	WS51_07600	bacteria>proteobacteria>betaproteobacteria	Burkholderia territorii	type III secretion protein [Burkholderia territorii]	1061540599	bacteria>proteobacteria>betaproteobacteria	bacteria>proteobacteria>betaproteobacteria	bacteria	SIG+TM(s)	<-SIG+TM<-?<-?<-?<-Cluster27_3clades<-SIG+TM<-SIG+TM(s)*	SIG TM(s)	 SIG+TM ? ? ? Cluster27_3clades SIG+TM SIG+TM(s)*
AOK08680.1	<-SIG+TM<-?<-?<-?<-Cluster27_3clades<-SIG+TM<-SIG+TM+TM+TM+TM+TM*	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM	737	WK25_26585	bacteria>proteobacteria>betaproteobacteria	Burkholderia latens	type III secretion protein [Burkholderia latens]	1061717287	bacteria>proteobacteria>betaproteobacteria	bacteria>proteobacteria>betaproteobacteria	bacteria	SIG+TM(s)	<-SIG+TM<-?<-?<-?<-Cluster27_3clades<-SIG+TM<-SIG+TM(s)*	SIG TM(s)	 SIG+TM ? ? ? Cluster27_3clades SIG+TM SIG+TM(s)*
CBG39787.1	<-SIG+TM+TM+TM+TM+TM*	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM	737	flhA	bacteria>proteobacteria>epsilonproteobacteria	Helicobacter mustelae 12198	flagellar biosynthesis protein [Helicobacter mustelae 12198]	290963950	bacteria>proteobacteria>epsilonproteobacteria	bacteria>proteobacteria>epsilonproteobacteria	bacteria	SIG+TM(s)	<-SIG+TM(s)*	SIG TM(s)	 SIG+TM(s)*
KXK36023.1	<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM	FHIPEP	SIG+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM	737	flhA	bacteria	Omnitrophica bacterium OLB16	Flagellar biosynthesis protein FlhA [Omnitrophica bacterium OLB16]	1000273774	bacteria>pvc group	bacteria>pvc group	bacteria	SIG+TM(s)	<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM(s)*<-TM(s)<-SIG+TM(s)	SIG TM(s)	 ParA-Soj-PloopNTPase SIG+APATPase SIG+TM(s)* TM(s) SIG+TM(s)
ACE82658.1	<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM+TM	736	flhA	bacteria>proteobacteria>gammaproteobacteria	Cellvibrio japonicus Ueda107	flagellar biosynthesis protein FlhA [Cellvibrio japonicus Ueda107]	190684980	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	SIG+TM(s)	<-SIG+APATPase<-SIG+TM(s)*	SIG TM(s)	 SIG+APATPase SIG+TM(s)*
AEG71308.1	TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->	FHIPEP	TM+TM+TM+TM+TM+TM	TM+TM+TM+TM+TM+TM	736	flhA	bacteria>proteobacteria>betaproteobacteria	Ralstonia solanacearum Po82	flagellar biosynthesis protein flha (plasmid) [Ralstonia solanacearum Po82]	334198124	bacteria>proteobacteria>betaproteobacteria	bacteria>proteobacteria>betaproteobacteria	bacteria	TM(s)	TM(s)->SIG+TM(s)*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->	TM(s)	TM(s) SIG+TM(s)* SIG+APATPase ParA-Soj-PloopNTPase SIGMA-HTH 
AIX75028.1	<-TET-TPase<-NACHT<-FHA<-SIG+TM+TM+TM+TM+TM*	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM	736	PSNIH2_15400	bacteria>proteobacteria>gammaproteobacteria	Pantoea sp PSNIH2	type III secretion protein HrpI [Pantoea sp. PSNIH2]	723242392	bacteria>proteobacteria>gammaproteobacteria	bacteria>proteobacteria>gammaproteobacteria	bacteria	SIG+TM(s)	<-TET-TPase<-NACHT<-FHA<-SIG+TM(s)*	SIG TM(s)	 TET-TPase NACHT FHA SIG+TM(s)*
AAP77064.1	SIG+TM+TM+TM+TM+TM*->?->?->FormylT->	FHIPEP	SIG+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM	735	flhA	bacteria>proteobacteria>epsilonproteobacteria	Helicobacter hepaticus ATCC 51449	flagellar basal body protein FlhA [Helicobacter hepaticus ATCC 51449]	32262015	bacteria>proteobacteria>epsilonproteobacteria	bacteria>proteobacteria>epsilonproteobacteria	bacteria	SIG+TM(s)	SIG+TM(s)*->?->?->FormylT->	SIG TM(s)	SIG+TM(s)* ? ? FormylT 
AIO45408.1	SIG+TM+TM+TM+TM+TM*->SIG+TM->Cluster27_3clades->?->?->?->SIG+TM->	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM	735	DM42_5943	bacteria>proteobacteria>betaproteobacteria	Burkholderia cepacia	type III secretion, HrcV family protein [Burkholderia cepacia]	685658280	bacteria>proteobacteria>betaproteobacteria	bacteria>proteobacteria>betaproteobacteria	bacteria	SIG+TM(s)	SIG+TM(s)*->SIG+TM->Cluster27_3clades->?->?->?->SIG+TM->	SIG TM(s)	SIG+TM(s)* SIG+TM Cluster27_3clades ? ? ? SIG+TM 
AKM03466.1	SIG+TM+TM+TM+TM+TM*->SIG+TM->Cluster27_3clades->?->?->?->SIG+TM->	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM	735	ABD05_25430	bacteria>proteobacteria>betaproteobacteria	Burkholderia pyrrocinia	type III secretion protein [Burkholderia pyrrocinia]	831191708	bacteria>proteobacteria>betaproteobacteria	bacteria>proteobacteria>betaproteobacteria	bacteria	SIG+TM(s)	SIG+TM(s)*->SIG+TM->Cluster27_3clades->?->?->?->SIG+TM->	SIG TM(s)	SIG+TM(s)* SIG+TM Cluster27_3clades ? ? ? SIG+TM 
AKM38763.1	SIG+TM+TM+TM+TM+TM*->SIG+TM->Cluster27_3clades->	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM	735	NL30_02005	bacteria>proteobacteria>betaproteobacteria	Burkholderia contaminans	type III secretion protein [Burkholderia contaminans]	834767897	bacteria>proteobacteria>betaproteobacteria	bacteria>proteobacteria>betaproteobacteria	bacteria	SIG+TM(s)	SIG+TM(s)*->SIG+TM->Cluster27_3clades->	SIG TM(s)	SIG+TM(s)* SIG+TM Cluster27_3clades 
AMU08101.1	<-SIG+TM<-?<-?<-?<-Cluster27_3clades<-SIG+TM<-SIG+TM+TM+TM+TM+TM*	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM	735	A2T82_17360	bacteria>proteobacteria>betaproteobacteria	Burkholderia cenocepacia	EscV/YscV/HrcV family type III secretion system export apparatus protein [Burkholderia cenocepacia]	1013877896	bacteria>proteobacteria>betaproteobacteria	bacteria>proteobacteria>betaproteobacteria	bacteria	SIG+TM(s)	<-SIG+TM<-?<-?<-?<-Cluster27_3clades<-SIG+TM<-SIG+TM(s)*	SIG TM(s)	 SIG+TM ? ? ? Cluster27_3clades SIG+TM SIG+TM(s)*
AMU13219.1	SIG+TM+TM+TM+TM+TM*->SIG+TM->Cluster27_3clades->?->?->?->SIG+TM->	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM	735	A3203_08905	bacteria>proteobacteria>betaproteobacteria	Burkholderia cenocepacia	EscV/YscV/HrcV family type III secretion system export apparatus protein [Burkholderia cenocepacia]	1013883018	bacteria>proteobacteria>betaproteobacteria	bacteria>proteobacteria>betaproteobacteria	bacteria	SIG+TM(s)	SIG+TM(s)*->SIG+TM->Cluster27_3clades->?->?->?->SIG+TM->	SIG TM(s)	SIG+TM(s)* SIG+TM Cluster27_3clades ? ? ? SIG+TM 
AOJ29109.1	<-SIG+TM<-?<-?<-?<-Cluster27_3clades<-SIG+TM<-SIG+TM+TM+TM+TM+TM*	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM	735	WJ12_30355	bacteria>proteobacteria>betaproteobacteria	Burkholderia seminalis	type III secretion protein [Burkholderia seminalis]	1061606092	bacteria>proteobacteria>betaproteobacteria	bacteria>proteobacteria>betaproteobacteria	bacteria	SIG+TM(s)	<-SIG+TM<-?<-?<-?<-Cluster27_3clades<-SIG+TM<-SIG+TM(s)*	SIG TM(s)	 SIG+TM ? ? ? Cluster27_3clades SIG+TM SIG+TM(s)*
AOJ35525.1	<-SIG+TM<-?<-?<-?<-Cluster27_3clades<-SIG+TM<-SIG+TM+TM+TM+TM+TM*	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM	735	WJ16_28910	bacteria>proteobacteria>betaproteobacteria	Burkholderia metallica	type III secretion protein [Burkholderia metallica]	1061615027	bacteria>proteobacteria>betaproteobacteria	bacteria>proteobacteria>betaproteobacteria	bacteria	SIG+TM(s)	<-SIG+TM<-?<-?<-?<-Cluster27_3clades<-SIG+TM<-SIG+TM(s)*	SIG TM(s)	 SIG+TM ? ? ? Cluster27_3clades SIG+TM SIG+TM(s)*
AOJ42608.1	<-SIG+TM<-?<-?<-?<-Cluster27_3clades<-SIG+TM<-SIG+TM+TM+TM+TM+TM*	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM	735	WJ23_32720	bacteria>proteobacteria>betaproteobacteria	Burkholderia lata	type III secretion protein [Burkholderia lata]	1061630157	bacteria>proteobacteria>betaproteobacteria	bacteria>proteobacteria>betaproteobacteria	bacteria	SIG+TM(s)	<-SIG+TM<-?<-?<-?<-Cluster27_3clades<-SIG+TM<-SIG+TM(s)*	SIG TM(s)	 SIG+TM ? ? ? Cluster27_3clades SIG+TM SIG+TM(s)*
AOR70592.1	<-SIG+TM<-?<-?<-?<-Cluster27_3clades<-SIG+TM<-SIG+TM+TM+TM+TM+TM*	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM	735	BBJ41_23975	bacteria>proteobacteria>betaproteobacteria	Burkholderia stabilis	EscV/YscV/HrcV family type III secretion system export apparatus protein [Burkholderia stabilis]	1069766822	bacteria>proteobacteria>betaproteobacteria	bacteria>proteobacteria>betaproteobacteria	bacteria	SIG+TM(s)	<-SIG+TM<-?<-?<-?<-Cluster27_3clades<-SIG+TM<-SIG+TM(s)*	SIG TM(s)	 SIG+TM ? ? ? Cluster27_3clades SIG+TM SIG+TM(s)*
CAR55916.1	<-SIG+TM<-?<-?<-?<-Cluster27_3clades<-SIG+TM<-SIG+TM+TM+TM+TM+TM*	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM	735	bscV	bacteria>proteobacteria>betaproteobacteria	Burkholderia cenocepacia J2315	type III secretion system protein [Burkholderia cenocepacia J2315]	198039938	bacteria>proteobacteria>betaproteobacteria	bacteria>proteobacteria>betaproteobacteria	bacteria	SIG+TM(s)	<-SIG+TM<-?<-?<-?<-Cluster27_3clades<-SIG+TM<-SIG+TM(s)*	SIG TM(s)	 SIG+TM ? ? ? Cluster27_3clades SIG+TM SIG+TM(s)*
CUU40392.1	SIG+TM+TM+TM+TM+TM*->?->?->FormylT->	FHIPEP	SIG+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM	735	BN2458_PEG1509	bacteria>proteobacteria>epsilonproteobacteria	Helicobacter typhlonius	Flagellar biosynthesis protein FlhA [Helicobacter typhlonius]	953942173	bacteria>proteobacteria>epsilonproteobacteria	bacteria>proteobacteria>epsilonproteobacteria	bacteria	SIG+TM(s)	SIG+TM(s)*->?->?->FormylT->	SIG TM(s)	SIG+TM(s)* ? ? FormylT 
OIO58689.1	TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->?->SIGMA-HTH->SIG+TM+TM->TM+OmpA->?-><-Cluster865_2clades	FHIPEP	TM+TM+TM+TM+TM+TM+TM	TM+TM+TM+TM+TM+TM+TM	735	AUJ82_08230	bacteria>verrucomicrobia	Verrucomicrobia bacterium CG1_02_43_26	flagellar biosynthesis protein FlhA [Verrucomicrobia bacterium CG1_02_43_26]	1101099704	bacteria>pvc group	bacteria>pvc group>verrucomicrobia	bacteria	TM(s)	TM(s)->SIG+TM(s)*->SIG+APATPase->?->SIGMA-HTH->SIG+TM(s)->TM+OmpA->?-><-Cluster865_2clades	TM(s)	TM(s) SIG+TM(s)* SIG+APATPase ? SIGMA-HTH SIG+TM(s) TM+OmpA ? Cluster865_2clades
ACB67207.1	<-SIG+TM<-?<-?<-?<-Cluster27_3clades<-SIG+TM<-SIG+TM+TM+TM+TM+TM*	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM+TM	734	BamMC406_4753	bacteria>proteobacteria>betaproteobacteria	Burkholderia ambifaria MC406	type III secretion FHIPEP protein [Burkholderia ambifaria MC40-6]	171996289	bacteria>proteobacteria>betaproteobacteria	bacteria>proteobacteria>betaproteobacteria	bacteria	SIG+TM(s)	<-SIG+TM<-?<-?<-?<-Cluster27_3clades<-SIG+TM<-SIG+TM(s)*	SIG TM(s)	 SIG+TM ? ? ? Cluster27_3clades SIG+TM SIG+TM(s)*
AFI03991.1	REC-><-?<-SIG+TM+TM+TM+TM+TM*	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM	734	flhA	bacteria>proteobacteria>epsilonproteobacteria	Helicobacter cetorum MIT 007128	flagellar biosynthesis protein FlhA [Helicobacter cetorum MIT 00-7128]	384555657	bacteria>proteobacteria>epsilonproteobacteria	bacteria>proteobacteria>epsilonproteobacteria	bacteria	SIG+TM(s)	REC-><-?<-SIG+TM(s)*	SIG TM(s)	REC ? SIG+TM(s)*
AFI06016.1	SIG+TM+TM+TM+TM+TM*->?-><-REC	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM	SIG+TM+TM+TM+TM+TM	734	flhA	bacteria>proteobacteria>epsilonproteobacteria	Helicobacter cetorum MIT 995656	flagellar biosynthesis protein FlhA [Helicobacter cetorum MIT 99-5656]	384554260	bacteria>proteobacteria>epsilonproteobacteria	bacteria>proteobacteria>epsilonproteobacteria	bacteria	SIG+TM(s)	SIG+TM(s)*->?-><-REC	SIG TM(s)	SIG+TM(s)* ? REC
