AccNum	ClustName	GenContext.orig	DomArch.Pfam	DomArch.orig	Length	GeneName	Lineage	Species.orig	GCA_ID
AAC67651.1	SIG+TM+TM+TM+TM+TM+TM+AMIN	SIG+TM+TM+TM+TM+TM+TM+AMIN*->SIGMA-HTH->	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM+AMIN	605	flhA	bacteria>chlamydiae	Chlamydia trachomatis D/UW-3/CX	GCA_000008725.1
AGS01856.1	SIG+TM+TM+TM+TM+TM+TM+AMIN	SIG+TM+TM+TM+TM+TM+TM+AMIN*->SIGMA-HTH->	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM+AMIN	605	CTJTET1_00320	bacteria>chlamydiae	Chlamydia trachomatis J/6276tet1	GCA_000441775.1
AEJ77816.1	SIG+TM+TM+TM+TM+TM+TM+AMIN	SIG+TM+TM+TM+TM+TM+TM+AMIN*->SIGMA-HTH->	SIG+FHIPEP	SIG+TM+TM+TM+TM+AMIN	536	CTL2C_898	bacteria>chlamydiae	Chlamydia trachomatis L2c	GCA_000220105.1
AGR95324.1	SIG+TM+TM+TM+TM+TM+TM+AMIN	SIG+TM+TM+TM+TM+TM+TM+AMIN*->SIGMA-HTH->	SIG+FHIPEP	SIG+TM+TM+TM+TM+TM+TM+AMIN	605	CTRC852_00320	bacteria>chlamydiae	Chlamydia trachomatis RC-F(s)/852	GCA_000441635.1
BAS14028.1	SIG+TM+TM+TM+TM	<-SIG+TM+TM+TM+TM*||?-><-TM+TM+TM+TM	FHIPEP	SIG+TM+TM+TM	487	AHiyo8_23310	bacteria>actinobacteria	Arthrobacter sp. Hiyo8	GCA_001549895.1
AIJ51084.1	SIG+TM+TM+TM+TM	FlgD->SIG+TM->?->SIG+TM+TM+TM+TM*->?->SIG+TM+TM+TM+TM+TM->	FHIPEP	SIG+TM+TM+TM+TM	477	flhA	bacteria>proteobacteria>alphaproteobacteria	Brucella abortus	GCA_000740135.1
AEW18614.1	SIG+TM+TM+TM+TM	<-SIG+TM+TM+TM+TM+TM<-?<-SIG+TM+TM+TM+TM*<-?||?-><-SIG+TM<-FlgD	FHIPEP	SIG+TM+TM+TM+TM	477	BAA13334_II00089	bacteria>proteobacteria>alphaproteobacteria	Brucella abortus A13334	GCA_000238175.1
AIJ91291.1	SIG+TM+TM+TM+TM	<-SIG+TM+TM+TM+TM+TM<-?<-SIG+TM+TM+TM+TM*<-?<-SIG+TM<-FlgD	FHIPEP	SIG+TM+TM+TM+TM	477	flhA	bacteria>proteobacteria>alphaproteobacteria	Brucella abortus bv. 2 str. 86/8/59	GCA_000740375.1
OGJ57952.1	SIG+TM+TM	<-SIG+TM+TM*||?-><-MORC	Bax1-I	SIG+TM+TM	238	A2881_04735	bacteria	Candidatus Peribacteria bacterium RIFCSPHIGHO2_01_FULL_55_13	GCA_001788925.1
OGJ66809.1	SIG+TM+TM	<-SIG+TM+TM*||?-><-MORC	Bax1-I	SIG+TM+TM	238	A3F36_00480	bacteria	Candidatus Peribacteria bacterium RIFCSPHIGHO2_12_FULL_55_11	GCA_001788995.1
BAH41980.1	SIG+TM+TM	SIG+TM+TM*->?->?->LiaI-LiaF-TM+Toast-rack->?->REC->	SIG+TM+TM+TM	SIG+TM+TM+TM	134	BBR47_10030	bacteria>firmicutes	Brevibacillus brevis NBRC 100599	GCA_000010165.1
AIG25067.1	SIG+TM+TM	SIG+TM+TM*->?->?->LiaI-LiaF-TM+Toast-rack->?->REC->	SIG+TM+TM	SIG+TM+TM	143	BRLA_c007090	bacteria>firmicutes	Brevibacillus laterosporus LMG 15441	GCA_000219535.3
AOA58168.1	TM+TM+TM	TM+TM+TM*->	TM+TM+TM	TM+TM+TM	639	BFG52_07240	bacteria>proteobacteria>gammaproteobacteria	Acinetobacter larvae	GCA_001704115.1
XP_001617790.1	TM+TM+TM	TM+TM+TM*->	FHIPEP	TM+TM+TM	383	NEMVEDRAFT_v1g225790	eukaryota>metazoa>cnidaria	Nematostella vectensis	GCF_000209225.1
XP_002676168.1	SIG+TM+TM	SIG+TM+TM*->	SIG+TM+TM	SIG+TM+TM	624	NAEGRDRAFT_49689	eukaryota>heterolobosea	Naegleria gruberi strain NEG-M	GCF_000004985.1
XP_002681919.1	SIG+Peptidase-S8+TM	SIG+Peptidase-S8+TM*->	SIG+Peptidase_S8+TM	SIG+Peptidase-S8+TM	1040	NAEGRDRAFT_78148	eukaryota>heterolobosea	Naegleria gruberi strain NEG-M	GCF_000004985.1
AFY57976.1	FHA+TM+TM+TM	<-FHA+TM+TM+TM*	FHA+TM+TM+TM	FHA+TM+TM+TM	288	Riv7116_5607	bacteria>cyanobacteria	Rivularia sp. PCC 7116	GCA_000316665.1
CAI48587.1	TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM	TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM*->	DUF2157+TM+TM+TM+TM+TM+TM+TM+TM	TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM	366	NP_0992A	archaea>euryarchaeota	Natronomonas pharaonis DSM 2160	GCA_000026045.1
OGM09098.1	TM+TM	TM-><-tRNA||?-><-TM+TM*	DUF4190	TM+TM	296	A2Z67_01725	bacteria	Candidatus Woesebacteria bacterium RBG_13_36_22	GCA_001791965.1
AOT10935.1	VgrG+DUF2345	VgrG+DUF2345*->	Phage_GPD+DUF2345	VgrG+DUF2345	676	S4054249_24155	bacteria>proteobacteria>gammaproteobacteria	Pseudoalteromonas luteoviolacea	GCA_001750165.1
AOT20756.1	VgrG+DUF2345	VgrG+DUF2345*->	Phage_GPD+DUF2345	VgrG+DUF2345	676	S4054_24075	bacteria>proteobacteria>gammaproteobacteria	Pseudoalteromonas luteoviolacea	GCA_001750185.1
AOT15901.1	VgrG+DUF2345	<-VgrG+DUF2345*	Phage_GPD+DUF2345	VgrG+DUF2345	676	S40542_24355	bacteria>proteobacteria>gammaproteobacteria	Pseudoalteromonas luteoviolacea	GCA_001750405.1
BAK58503.1	SIG+DUF4097	<-SIG+TM+TM+TM+TM+TM+TM<-SIG+DUF4097*<-DUF1700-alpha-helical+TM+TM+TM<-PADR-HTH	SIG+DUF4097	SIG	292	LCGT_0990	bacteria>firmicutes	Lactococcus garvieae ATCC 49156	GCA_000269925.1
BAK60510.1	SIG+DUF4097	PADR-HTH->DUF1700-alpha-helical+TM+TM+TM->SIG+DUF4097*->SIG+TM+TM+TM+TM+TM+TM->	SIG+DUF4097	SIG	292	LCGL_1050	bacteria>firmicutes	Lactococcus garvieae Lg2	GCA_000269945.1
XP_954046.1	TSRP+FilH+TSRP	TSRP+FilH+TSRP*->	SIG+TM+TM+TM+TM+TM+DUF1522+TM+TM+TM	TSRP+FilH+TSRP	667	TA06745	eukaryota>alveolata>apicomplexa	Theileria annulata	-
XP_953387.1	TSRP+FilH+TSRP	TSRP+FilH+TSRP*->	SIG+TM+TM+TM+TM+TM+TM+DUF4097+TM+TM+TM	TSRP+FilH+TSRP	917	TA10165	eukaryota>alveolata>apicomplexa	Theileria annulata	GCF_000003225.3
AFY88076.1	Pkinase+BetaPropeller	Endonuclease_5->Pkinase+BetaPropeller*->	Pkinase+WD40+WD40+WD40+WD40+ANAPC4_WD40	Pkinase+BetaPropeller	648	Chro_2600	bacteria>cyanobacteria	Chroococcidiopsis thermalis PCC 7203	GCA_000317125.1
ADN16376.1	Pkinase+BetaPropeller	Pkinase+BetaPropeller*->	Pkinase+WD40+WD40+WD40+WD40+WD40+WD40+WD40	Pkinase+BetaPropeller	700	Cyan7822_4465	bacteria>cyanobacteria	Gloeothece verrucosa PCC 7822	GCA_000147335.1
AEP11971.1	SIG+Beta-Roll+Tox-HopH1	SIG+Beta-Roll+Tox-HopH1*->	SIG+Peptidase_M10_C+Peptidase_M91	SIG+Beta-Roll+Tox-HopH1	509	Cabther_A1217	bacteria>acidobacteria	Chloracidobacterium thermophilum B	GCA_000226295.1
OGC83120.1	SIG+TM	<-SIG+PBPB<-SIG+TM*<-PspC<-METHYLASE	SIG+TM+Toast_rack_N	SIG+TM	303	A2W07_08985	bacteria	candidate division Zixibacteria bacterium RBG_16_43_9	GCA_001775355.1
ADZ85168.1	SIG+DUF4097	<-SIG+DUF4097*<-DUF1700-alpha-helical+TM+TM+TM<-PADR-HTH	SIG+DUF4097	SIG	267	Clole_3484	bacteria>firmicutes	Cellulosilyticum lentocellum DSM 5427	GCA_000178835.2
XP_005761184.1	SIG+IG+Beta-helix+TM+TM+TM+TM+TM+TM+TM	SIG+IG+Beta-helix+TM+TM+TM+TM+TM+TM+TM*->	SIG+Herpes_BLLF1+Adeno_E1B_55K+Beta_helix+TM+TM+TM+TM+TM+TM+TM	SIG+IG+Beta-helix+TM+TM+TM+TM+TM+TM+TM	2205	EMIHUDRAFT_459945	eukaryota>haptophyceae	Emiliania huxleyi CCMP1516	GCF_000372725.1
AIY18989.1	WXG+Beta-Roll+Tox-HopH1	<-GATase_5<-PurS<-?||?->?->ACET-><-?<-WXG+Beta-Roll+Tox-HopH1*<-?<-AMP-binding+AMP-binding_C	Peptidase_M10_C+Peptidase_M10_C+Peptidase_M91	WXG+Beta-Roll+Tox-HopH1	596	KR76_23415	bacteria>actinobacteria	Pimelobacter simplex	GCA_000785495.1
XP_005763268.1	BACTERIALFRINGE+TM+TM+TM+TM+TM+TM+TIR	BACTERIALFRINGE+TM+TM+TM+TM+TM+TM+TIR*->	Rib_recp_KP_reg+Glycos_transf_2+Beta_helix+TM+TM+TM+TM+TM+TM+TIR_2	BACTERIALFRINGE+TM+TM+TM+TM+TM+TM+TIR	2347	EMIHUDRAFT_215075	eukaryota>haptophyceae	Emiliania huxleyi CCMP1516	GCF_000372725.1
XP_009065616.1	Hydantoinase_B	Hydantoinase_B*->	Hydantoinase_B	-	375	LOTGIDRAFT_176952	eukaryota>metazoa>mollusca	Lottia gigantea	GCF_000327385.1
AKA46188.1	SIG+EP1+OmpA-beta-barrel	<-Queuosine_synth<-?<-SIG+EP1+OmpA-beta-barrel*<-ABC-ATPase+SbcC+ABC-ATPase+SbcC	SIG+Peptidase_S6+Pertactin+CCDC158+Autotransporter	SIG+EP1+OmpA-beta-barrel	1469	C645_01750	bacteria>proteobacteria>gammaproteobacteria	Haemophilus influenzae 2019	GCA_000968335.1
AKM42594.1	SIG+FilH+FilH+FilH+DUF637	<-SIG+FilH+FilH+FilH+DUF637*	SIG+Haemagg_act+FapA+FapA	SIG+FilH+FilH+FilH+DUF637	5108	NL30_22115	bacteria>proteobacteria>betaproteobacteria	Burkholderia contaminans	GCA_001029145.1
ADC46270.1	SIG+Beta-helix+CarboxypepD-reg-IG+CarboxypepD-reg-IG+CarboxypepD-reg-IG+CarboxypepD-reg-IG	<-SIG+Beta-helix+CarboxypepD-reg-IG+CarboxypepD-reg-IG+CarboxypepD-reg-IG+CarboxypepD-reg-IG*	SIG+Big_3_5+Big_3_5	SIG+Beta-helix+CarboxypepD-reg-IG+CarboxypepD-reg-IG+CarboxypepD-reg-IG+CarboxypepD-reg-IG	1391	mru_0419	archaea>euryarchaeota	Methanobrevibacter ruminantium M1	GCA_000024185.1
XP_008906819.1	ANK+CR-Kinase+CR-Kinase	ANK+CR-Kinase+CR-Kinase*->	Ank_4+Ank_4+Ank_2+Ank_2+Ank_2+Pkinase+Pkinase_Tyr	ANK+CR-Kinase+CR-Kinase	1315	PPTG_12531	eukaryota>stramenopiles	Phytophthora parasitica INRA-310	GCF_000247585.1
AGB04786.1	SIG+MA+TM	SIG+MA+TM*->	SIG+Reo_sigmaC	SIG+MA+TM	1408	AciM339_0912	archaea>euryarchaeota	Aciduliprofundum sp. MAR08-339	GCA_000327505.1
OLQ11566.1	SIG+FilH+FilH+FilH+FilH+TM+TM+TM+TM+TM+TM+TM+TM+TM	SIG+FilH+FilH+FilH+FilH+TM+TM+TM+TM+TM+TM+TM+TM+TM*->	SIG+Cthe_2159+Cthe_2159+Cthe_2159+TM+TM+TM+TM+TM+TM+TM+TM+TM	SIG+FilH+FilH+FilH+FilH+TM+TM+TM+TM+TM+TM+TM+TM+TM	2874	AK812_SmicGene4589	eukaryota>alveolata	Symbiodinium microadriaticum	GCA_001939145.1
AMY68552.1	Beta-Roll	Beta-Roll*->	Sulfatase+Peptidase_M10_C	Beta-Roll	785	AKL17_1296	bacteria>proteobacteria>alphaproteobacteria	Defluviimonas alba	GCA_001620265.1
APZ90894.1	CADHERIN+CADHERIN+Calx-beta+ASH-IG+Calx-beta+CADHERIN+CADHERIN+CADHERIN+CADHERIN+CADHERIN+Beta-Roll+Beta-Roll	CADHERIN+CADHERIN+Calx-beta+ASH-IG+Calx-beta+CADHERIN+CADHERIN+CADHERIN+CADHERIN+CADHERIN+Beta-Roll+Beta-Roll*->	Calx-beta+Peptidase_M10_C	CADHERIN+CADHERIN+Calx-beta+ASH-IG+Calx-beta+CADHERIN+CADHERIN+CADHERIN+CADHERIN+CADHERIN+Beta-Roll+Beta-Roll	3599	hlyA_1	bacteria>planctomycetes	Fuerstia marisgermanicae	GCA_001983935.1
XP_009067053.1	Hydant_A_N+Hydantoinase_A+Hydantoinase_B	Hydant_A_N+Hydantoinase_A+Hydantoinase_B*->	Hydant_A_N+Hydantoinase_A+Hydantoinase_B	-	904	LOTGIDRAFT_170168	eukaryota>metazoa>mollusca	Lottia gigantea	GCF_000327385.1
OLP79868.1	SIG+TM+TM+TM+TM+TM+TM+IG+RVT	SIG+TM+TM+TM+TM+TM+TM+IG+RVT*->	SIG+ATP-synt_ab+TM+TM+TM+TM+TM+TM+Porin_4+RVT_1	SIG+TM+TM+TM+TM+TM+TM+IG+RVT	2324	AK812_SmicGene39795	eukaryota>alveolata	Symbiodinium microadriaticum	GCA_001939145.1
XP_005560513.1	SIG+IG+LINK+LINK+LINK+LINK+CLECTIN	SIG+IG+LINK+LINK+LINK+LINK+CLECTIN*->	SIG+V-set+Xlink+Xlink+Xlink+Xlink+EGF+Lectin_C+Sushi	SIG+IG+LINK+LINK+LINK+LINK+CLECTIN	2266	ACAN	eukaryota>metazoa>chordata>vertebrata	Macaca fascicularis	GCF_000364345.1
ADD40353.1	Beta-Roll+Tox-HopH1	ABhydrolase-><-?<-?<-Beta-Roll+Tox-HopH1*<-?||?->?->?-><-REC+LuxR-HTH<-SIG+TM+TM+TM+TM+HISKIN	Peptidase_M10_C+Peptidase_M10_C+Peptidase_M91	Beta-Roll+Tox-HopH1	572	Snas_0640	bacteria>actinobacteria	Stackebrandtia nassauensis DSM 44728	GCA_000024545.1
ANU77117.1	NA	<-PspC<-?*<-DUF1700-alpha-helical+TM+TM+TM<-PADR-HTH	SIG	SIG	289	A4V09_15925	bacteria>firmicutes	Blautia sp. YL58	GCA_001689125.2
XP_001009229.3	NA	?*->	SIG	SIG	312	TTHERM_00554390	eukaryota>alveolata>ciliophora	Tetrahymena thermophila SB210	GCF_000189635.1
OGI06329.1	NA	<-?*<-?<-?<-PCRF+RF-1<-TM+TM+TM+TM<-Ribosomal_L31	-	-	536	A2Y40_00365	bacteria	Candidatus Margulisbacteria bacterium GWF2_35_9	GCA_001783275.1
XP_009497760.1	Myosin_N+Myosin_head+Myosin_tail_1	Myosin_N+Myosin_head+Myosin_tail_1*->	Myosin_N+Myosin_head+Myosin_tail_1	PspA	1224	H696_05665	eukaryota	Fonticula alba	GCF_000388065.1
XP_001742581.1	Myosin_N+Myosin_head+Myosin_tail_1	Myosin_N+Myosin_head+Myosin_tail_1*->	Myosin_N+Myosin_head+Myosin_tail_1	EP1+SIGMA-HTH	1372	MONBRDRAFT_13965	eukaryota>choanoflagellida	Monosiga brevicollis MX1	GCF_000002865.3
XP_004994069.1	Myosin_N+Myosin_head+Myosin_tail_1	Myosin_N+Myosin_head+Myosin_tail_1*->	Myosin_N+Myosin_head+Myosin_tail_1	SIGMA-HTH+EP1	1354	PTSG_04749	eukaryota>choanoflagellida	Salpingoeca rosetta	GCF_000188695.1
EPB84924.1	Myosin_N+Myosin_head+Myosin_tail_1	<-Myosin_N+Myosin_head+Myosin_tail_1*	Myosin_N+Myosin_head+CCDC158	MA	1169	HMPREF1544_08283	eukaryota>fungi	Mucor circinelloides f. circinelloides 1006PhL	GCA_000401635.1
XP_002433460.1	Myosin_N+Myosin_head+Myosin_tail_1	Myosin_N+Myosin_head+Myosin_tail_1*->	Myosin_N+Myosin_head+Myosin_tail_1	EP1+PspA+EP1	1812	IscW_ISCW001340	eukaryota>metazoa	Ixodes scapularis	-
XP_013773314.1	Myosin_N+Myosin_head+Myosin_tail_1	Myosin_N+Myosin_head+Myosin_tail_1*->	Myosin_N+Myosin_head+Myosin_tail_1	SidE+SidE	1945	LOC106458353	eukaryota>metazoa	Limulus polyphemus	-
XP_013783817.1	Myosin_N+Myosin_head+Myosin_tail_1	Myosin_N+Myosin_head+Myosin_tail_1*->	Myosin_N+Myosin_head+Myosin_tail_1	SidE+WXG	1364	LOC106467971	eukaryota>metazoa	Limulus polyphemus	-
XP_013786440.1	Myosin_N+Myosin_head+Myosin_tail_1	Myosin_N+Myosin_head+Myosin_tail_1*->	Myosin_N+Myosin_head+Myosin_tail_1+NtCtMGAM_N+Gal_mutarotas_2+Glyco_hydro_31	SidE+EP1	2275	LOC106470429	eukaryota>metazoa	Limulus polyphemus	-
XP_013402683.1	Myosin_N+Myosin_head+Myosin_tail_1	Myosin_N+Myosin_head+Myosin_tail_1*->	Myosin_N+Myosin_head+Myosin_tail_1	SidE+SidE	1964	LOC106168235	eukaryota>metazoa	Lingula anatina	GCF_001039355.2
XP_013402681.1	Myosin_N+Myosin_head+Myosin_tail_1	Myosin_N+Myosin_head+Myosin_tail_1*->	Myosin_N+Myosin_head+Myosin_tail_1	SidE+SidE	1982	LOC106168235	eukaryota>metazoa	Lingula anatina	GCF_001039355.2
XP_013402671.1	Myosin_N+Myosin_head+Myosin_tail_1	Myosin_N+Myosin_head+Myosin_tail_1*->	Myosin_N+Myosin_head+Myosin_tail_1	SidE+SidE	1987	LOC106168235	eukaryota>metazoa	Lingula anatina	GCF_001039355.2
XP_013402672.1	Myosin_N+Myosin_head+Myosin_tail_1	Myosin_N+Myosin_head+Myosin_tail_1*->	Myosin_N+Myosin_head+Myosin_tail_1	SidE+SidE	1987	LOC106168235	eukaryota>metazoa	Lingula anatina	GCF_001039355.2
XP_013402668.1	Myosin_N+Myosin_head+Myosin_tail_1	Myosin_N+Myosin_head+Myosin_tail_1*->	Myosin_N+Myosin_head+Myosin_tail_1	SidE+SidE	1988	LOC106168235	eukaryota>metazoa	Lingula anatina	GCF_001039355.2
XP_013402667.1	Myosin_N+Myosin_head+Myosin_tail_1	Myosin_N+Myosin_head+Myosin_tail_1*->	Myosin_N+Myosin_head+Myosin_tail_1	SidE+SidE	1988	LOC106168235	eukaryota>metazoa	Lingula anatina	GCF_001039355.2
XP_013402669.1	Myosin_N+Myosin_head+Myosin_tail_1	Myosin_N+Myosin_head+Myosin_tail_1*->	Myosin_N+Myosin_head+Myosin_tail_1	SidE+SidE	1988	LOC106168235	eukaryota>metazoa	Lingula anatina	GCF_001039355.2
XP_009171936.1	Myosin_N+Myosin_head+Myosin_tail_1	Myosin_N+Myosin_head+Myosin_tail_1*->	Myosin_N+Myosin_head+Myosin_tail_1	SidE+EP1+PspA	2180	T265_07991	eukaryota>metazoa	Opisthorchis viverrini	GCF_000715545.1
XP_009174447.1	Myosin_N+Myosin_head+Myosin_tail_1	Myosin_N+Myosin_head+Myosin_tail_1*->	Myosin_N+Myosin_head+Myosin_tail_1	MA+MA+MA+MA	1932	T265_09952	eukaryota>metazoa	Opisthorchis viverrini	GCF_000715545.1
XP_014676450.1	Myosin_N+Myosin_head+Myosin_tail_1	Myosin_N+Myosin_head+Myosin_tail_1*->	Myosin_N+Myosin_head+Myosin_tail_1	SIGMA-HTH+PspA+MA	1949	LOC106816369	eukaryota>metazoa	Priapulus caudatus	GCF_000485595.1
XP_014676451.1	Myosin_N+Myosin_head+Myosin_tail_1	Myosin_N+Myosin_head+Myosin_tail_1*->	Myosin_N+Myosin_head+Myosin_tail_1	SidE	1950	LOC106816370	eukaryota>metazoa	Priapulus caudatus	GCF_000485595.1
XP_018646977.1	Myosin_N+Myosin_head+Myosin_tail_1	Myosin_N+Myosin_head+Myosin_tail_1*->	Myosin_head+Myosin_tail_1	EP1	1095	Smp_085540.1	eukaryota>metazoa	Schistosoma mansoni	GCF_000237925.1
