AccNum	ClustID	ClustName.orig	GenContext.orig	DomArch.Pfam	DomArch.orig	Length	GeneName	Lineage	Species.orig	GCA_ID
XP_019696889.1	000321.2	TSP1+Toast-rack	TSP1+Toast-rack*->	TSP_1+Herpes_BLLF1+Kunitz_BPTI+Kunitz_BPTI+Kunitz_BPTI+Kunitz_BPTI+Kunitz_BPTI+Kunitz_BPTI+Kunitz_BPTI+Kunitz_BPTI+Kunitz_BPTI+Kunitz_BPTI+WAP+Ig_3+Ig_3+Amelogenin+I-set+PLAC	TSP1+Toast-rack	2449	LOC105182971	eukaryota>metazoa>hexapoda	Harpegnathos saltator	-
XP_011139107.1	000321.2	TSP1+Toast-rack	TSP1+Toast-rack*->	SIG+ADAM_spacer1+TSP_1+Herpes_BLLF1+Kunitz_BPTI+Kunitz_BPTI+Kunitz_BPTI+Kunitz_BPTI+Kunitz_BPTI+Kunitz_BPTI+Kunitz_BPTI+Kunitz_BPTI+Kunitz_BPTI+Kunitz_BPTI+WAP+Ig_3+Ig_3+Amelogenin+I-set+PLAC	SIG+TSP1+TSP1+TSP1+TSP1+Toast-rack	3012	LOC105182971	eukaryota>metazoa>hexapoda	Harpegnathos saltator	-
Bcir1000015244	000325.2	TM+Toast-rack+SFII-RAD3	-	TM+DUF4097+O-FucT	TM+Toast-rack	970	Bcir1000015244	eukaryota>fungi>mucoromycotina	Backusella circina	-
XP_003268232.1	000395.2	SIG+Toast-rack	SIG+Toast-rack*->	SIG+DUF4097	SIG+Toast-rack	275	FAM185A	eukaryota>metazoa>chordata>vertebrata	Nomascus leucogenys	-
ANU64642.1	000000.1	SIG+Toast-rack	<-SIG+Toast-rack*<-Dus	SIG+DUF2807	SIG+Toast-rack	234	A4V02_13545	bacteria>bacteroidetes	Parabacteroides sp. YL27	-
ANU53703.1	000000.1	SIG+Toast-rack	PADR-HTH->TM+TM+TM+TM->SIG+Toast-rack*->Mbetalac+PHD->	SIG+DUF4097	SIG+Toast-rack	331	A4V00_06505	bacteria>firmicutes	Ruminiclostridium sp. KB18	-
Lhya1000000104	000000.1	SIG+Toast-rack	-	SIG+DUF4097	SIG+Toast-rack	402	Lhya1000000104	eukaryota>fungi>mucoromycotina	Lichtheimia hyalospora	-
XP_002410282.1	000000.1	SIG+Toast-rack	SIG+Toast-rack*->	SIG+DUF4097	SIG+Toast-rack	304	IscW_ISCW020041	eukaryota>metazoa	Ixodes scapularis	-
Caps1000008891	000000.1	SIG+Toast-rack	-	SIG+DUF4097	SIG+Toast-rack	378	Caps1000008891	eukaryota>metazoa>annelida	Capitella spI	-
XP_018669607.1	000000.1	SIG+Toast-rack	SIG+Toast-rack*->	SIG	SIG+Toast-rack	347	LOC100184533	eukaryota>metazoa>chordata	Ciona intestinalis	-
XP_001777416.1	000000.1	SIG+Toast-rack	SIG+Toast-rack*->	SIG+DUF4097	SIG+Toast-rack	465	PHYPADRAFT_169807	eukaryota>viridiplantae	Physcomitrella patens	-
Crev1000002893	000000.1	Toast-rack	-	DUF4097	Toast-rack	412	Crev1000002893	eukaryota>fungi>kickxellomycotina	Coemansia reversa	-
Crev1000002900	000000.1	Toast-rack	-	-	Toast-rack	455	Crev1000002900	eukaryota>fungi>kickxellomycotina	Coemansia reversa	-
Crev1000002901	000000.1	Toast-rack	-	-	Toast-rack	435	Crev1000002901	eukaryota>fungi>kickxellomycotina	Coemansia reversa	-
Bcir1000011014	000000.1	Toast-rack	-	DUF4097	Toast-rack	282	Bcir1000011014	eukaryota>fungi>mucoromycotina	Backusella circina	-
Bcir1000012045	000000.1	Toast-rack	-	-	Toast-rack	333	Bcir1000012045	eukaryota>fungi>mucoromycotina	Backusella circina	-
Bcir1000012046	000000.1	Toast-rack	-	-	Toast-rack	403	Bcir1000012046	eukaryota>fungi>mucoromycotina	Backusella circina	-
Lhya1000001619	000000.1	Toast-rack	-	DUF4097	Toast-rack	195	Lhya1000001619	eukaryota>fungi>mucoromycotina	Lichtheimia hyalospora	-
Lhya1000007378	000000.1	Toast-rack	-	DUF4097	Toast-rack	534	Lhya1000007378	eukaryota>fungi>mucoromycotina	Lichtheimia hyalospora	-
Uram1000002532	000000.1	Toast-rack	-	-	Toast-rack	288	Uram1000002532	eukaryota>fungi>mucoromycotina	Umbelopsis ramanniana	-
Pisp1000011636	000000.1	Toast-rack	-	PAT1+SGP+Atrophin-1	Toast-rack	996	Pisp1000011636	eukaryota>fungi>neocallimastigomycota	Piromyces sp	-
Smar1000007746	000000.1	Toast-rack	-	DUF4097	Toast-rack	372	Smar1000007746	eukaryota>metazoa>arthropoda>myriapoda	Strigamia maritima	-
NP_611045.1	000000.1	Toast-rack	Toast-rack*->	DUF4097	Toast-rack	376	CG8187	eukaryota>metazoa>hexapoda	Drosophila melanogaster	-
Pram1000005240	000000.1	Toast-rack	-	Actin+DUF2807	Toast-rack	713	Pram1000005240	eukaryota>stramenopiles	Phytophthora ramorum	-
XP_001786665.1	000000.1	Toast-rack	Toast-rack*->	DUF4097	Toast-rack	178	PHYPADRAFT_103679	eukaryota>viridiplantae	Physcomitrella patens	-
XP_002469485.1	000000.1	TM+Toast-rack	TM+Toast-rack*->	TM	TM+Toast-rack	591	POSPLDRAFT_98247	eukaryota>fungi>basidiomycota	Postia placenta Mad-698-R	-
Lhya1000008967	000000.1	TM+Toast-rack	-	TM	TM+Toast-rack	391	Lhya1000008967	eukaryota>fungi>mucoromycotina	Lichtheimia hyalospora	-
Uram1000001527	000000.1	TM+Toast-rack	-	TM+DUF4097	TM+Toast-rack	353	Uram1000001527	eukaryota>fungi>mucoromycotina	Umbelopsis ramanniana	-
Uram1000008702	000000.1	TM+Toast-rack	-	TM+DUF4097	TM+Toast-rack	664	Uram1000008702	eukaryota>fungi>mucoromycotina	Umbelopsis ramanniana	-
Bcir1000009799	000000.1	SIG+TM+Toast-rack	-	SIG+TM	SIG+TM+Toast-rack	558	Bcir1000009799	eukaryota>fungi>mucoromycotina	Backusella circina	-
Lhya1000002695	000000.1	SIG+TM+Toast-rack	-	SIG+TM	SIG+TM+Toast-rack	473	Lhya1000002695	eukaryota>fungi>mucoromycotina	Lichtheimia hyalospora	-
Uram1000003181	000000.1	SIG+Toast-rack+Toast-rack	-	SIG	SIG+Toast-rack+Toast-rack	412	Uram1000003181	eukaryota>fungi>mucoromycotina	Umbelopsis ramanniana	-
XP_001787076.1	000000.1	SIG+TM+TM+Toast-rack	SIG+TM+TM+Toast-rack*->	SIG+TM+TM	SIG+TM+TM+Toast-rack	275	PHYPADRAFT_104288	eukaryota>viridiplantae	Physcomitrella patens	-
Caps1000010355	000000.1	Toast-rack+TM	-	Herpes_BLLF1+TM	Toast-rack+TM	270	Caps1000010355	eukaryota>metazoa>annelida	Capitella spI	-
XP_954046.1	000000.1	TSRP+FilH+TSRP	TSRP+FilH+TSRP*->	SIG+TM+TM+TM+TM+TM+DUF1522+TM+TM+TM	TSRP+FilH+TSRP	667	TA06745	eukaryota>alveolata>apicomplexa	Theileria annulata	-
Pram1000005233	000000.1	Toast-rack+TM+TM+Toast-rack+TM	-	DUF2807+TM+TM+DUF2807+TM	Toast-rack+TM+TM+Toast-rack+TM	852	Pram1000005233	eukaryota>stramenopiles	Phytophthora ramorum	-
ANU77818.1	000000.1	CHTH+Toast-rack	CHTH+Toast-rack*->	HTH_3+DUF4097	CHTH+Toast-rack	497	A4V09_20020	bacteria>firmicutes	Blautia sp. YL58	-
Crev1000006188	000000.1	TM+Toast-rack+Toast-rack	-	TM	TM+Toast-rack+Toast-rack	547	Crev1000006188	eukaryota>fungi>kickxellomycotina	Coemansia reversa	-
Uram1000009606	000000.1	SIG+TM+Toast-rack+Toast-rack	-	SIG+RCR+TM+DUF4097	SIG+TM+Toast-rack+Toast-rack	692	Uram1000009606	eukaryota>fungi>mucoromycotina	Umbelopsis ramanniana	-
OBQ07975.1	000001.1454	PspA	PspA*->PspA->	PspA_IM30	PspA	235	AN489_12110	bacteria>cyanobacteria	Anabaena sp. 39858	-
OBQ07941.1	000001.1454	PspA	PspA->PspA*->	PspA_IM30	PspA	258	AN489_12115	bacteria>cyanobacteria	Anabaena sp. 39858	-
XP_001756475.1	000001.1454	PspA	PspA*->	SIG+PspA_IM30	SIG+PspA	297	PHYPADRAFT_117800	eukaryota>viridiplantae	Physcomitrella patens	-
XP_001765371.1	000001.1454	PspA	PspA*->	PspA_IM30	PspA	275	PHYPADRAFT_129336	eukaryota>viridiplantae	Physcomitrella patens	-
XP_001782149.1	000001.1454	PspA	PspA*->	PspA_IM30	PspA	245	PHYPADRAFT_150827	eukaryota>viridiplantae	Physcomitrella patens	-
XP_002978623.1	000001.1454	PspA	PspA*->	PspA_IM30	PspA	261	SELMODRAFT_109054	eukaryota>viridiplantae	Selaginella moellendorffii	-
XP_002970544.1	000001.1454	PspA	PspA*->	PspA_IM30	PspA	261	SELMODRAFT_93752	eukaryota>viridiplantae	Selaginella moellendorffii	-
XP_725374.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	253	PY00570	eukaryota>alveolata>apicomplexa	Plasmodium yoelii yoelii 17XNL	-
Chet1000000855	000002.516	Snf7	-	Snf7	Snf7	224	Chet1000000855	eukaryota>fungi>ascomycota	Cochliobolus heterostrophus	-
XP_002472413.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	244	POSPLDRAFT_88603	eukaryota>fungi>basidiomycota	Postia placenta Mad-698-R	-
Crev1000000673	000002.516	Snf7	-	Snf7	Snf7	221	Crev1000000673	eukaryota>fungi>kickxellomycotina	Coemansia reversa	-
Crev1000005838	000002.516	Snf7	-	Snf7	Snf7	233	Crev1000005838	eukaryota>fungi>kickxellomycotina	Coemansia reversa	-
Bcir1000001833	000002.516	Snf7	-	Snf7	Snf7	225	Bcir1000001833	eukaryota>fungi>mucoromycotina	Backusella circina	-
Bcir1000013302	000002.516	Snf7	-	Snf7	Snf7	221	Bcir1000013302	eukaryota>fungi>mucoromycotina	Backusella circina	-
Lhya1000005072	000002.516	Snf7	-	Snf7	Snf7	223	Lhya1000005072	eukaryota>fungi>mucoromycotina	Lichtheimia hyalospora	-
Lhya1000010591	000002.516	Snf7	-	Snf7	Snf7	223	Lhya1000010591	eukaryota>fungi>mucoromycotina	Lichtheimia hyalospora	-
Uram1000000498	000002.516	Snf7	-	Snf7	Snf7	183	Uram1000000498	eukaryota>fungi>mucoromycotina	Umbelopsis ramanniana	-
Uram1000008596	000002.516	Snf7	-	Snf7	Snf7	221	Uram1000008596	eukaryota>fungi>mucoromycotina	Umbelopsis ramanniana	-
Uram1000009085	000002.516	Snf7	-	Snf7	Snf7	220	Uram1000009085	eukaryota>fungi>mucoromycotina	Umbelopsis ramanniana	-
Pisp1000001682	000002.516	Snf7	-	Snf7	Snf7	149	Pisp1000001682	eukaryota>fungi>neocallimastigomycota	Piromyces sp	-
Pisp1000009625	000002.516	Snf7	-	Snf7	Snf7	128	Pisp1000009625	eukaryota>fungi>neocallimastigomycota	Piromyces sp	-
XP_002400072.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	228	IscW_ISCW018144	eukaryota>metazoa	Ixodes scapularis	-
XP_002400207.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	177	IscW_ISCW024662	eukaryota>metazoa	Ixodes scapularis	-
XP_013772952.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	222	LOC106458045	eukaryota>metazoa	Limulus polyphemus	-
XP_013785516.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	218	LOC106469562	eukaryota>metazoa	Limulus polyphemus	-
XP_013785513.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	218	LOC106469562	eukaryota>metazoa	Limulus polyphemus	-
XP_013785517.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	218	LOC106469562	eukaryota>metazoa	Limulus polyphemus	-
XP_013785515.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	218	LOC106469562	eukaryota>metazoa	Limulus polyphemus	-
XP_013785514.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	218	LOC106469562	eukaryota>metazoa	Limulus polyphemus	-
XP_013794888.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	221	LOC106478858	eukaryota>metazoa	Limulus polyphemus	-
XP_013794887.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	221	LOC106478858	eukaryota>metazoa	Limulus polyphemus	-
Caps1000008300	000002.516	Snf7	-	Snf7	Snf7	222	Caps1000008300	eukaryota>metazoa>annelida	Capitella spI	-
Caps1000009008	000002.516	Snf7	-	Snf7	Snf7	213	Caps1000009008	eukaryota>metazoa>annelida	Capitella spI	-
Caps1000013612	000002.516	Snf7	-	Snf7	Snf7	218	Caps1000013612	eukaryota>metazoa>annelida	Capitella spI	-
Smar1000008259	000002.516	Snf7	-	Snf7	Snf7	204	Smar1000008259	eukaryota>metazoa>arthropoda>myriapoda	Strigamia maritima	-
Smar1000011654	000002.516	Snf7	-	Snf7	Snf7	224	Smar1000011654	eukaryota>metazoa>arthropoda>myriapoda	Strigamia maritima	-
Smar1000014167	000002.516	Snf7	-	Snf7	Snf7	223	Smar1000014167	eukaryota>metazoa>arthropoda>myriapoda	Strigamia maritima	-
XP_015129890.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	196	LOC101749400	eukaryota>metazoa>chordata>vertebrata	Gallus gallus	-
XP_015129891.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	196	LOC101749400	eukaryota>metazoa>chordata>vertebrata	Gallus gallus	-
XP_015129892.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	196	LOC101749400	eukaryota>metazoa>chordata>vertebrata	Gallus gallus	-
XP_015128551.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	220	LOC107049466	eukaryota>metazoa>chordata>vertebrata	Gallus gallus	-
XP_006540408.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	222	Chmp2a	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_011248992.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	250	Chmp2a	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_006540407.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	250	Chmp2a	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_017177202.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	198	Chmp3	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_006506543.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	198	Chmp3	eukaryota>metazoa>chordata>vertebrata	Mus musculus	-
XP_012355531.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	190	CHMP2A	eukaryota>metazoa>chordata>vertebrata	Nomascus leucogenys	-
XP_012355530.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	222	CHMP2A	eukaryota>metazoa>chordata>vertebrata	Nomascus leucogenys	-
XP_012355529.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	222	CHMP2A	eukaryota>metazoa>chordata>vertebrata	Nomascus leucogenys	-
XP_004091784.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	172	CHMP2B	eukaryota>metazoa>chordata>vertebrata	Nomascus leucogenys	-
XP_012358119.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	196	CHMP3	eukaryota>metazoa>chordata>vertebrata	Nomascus leucogenys	-
XP_779982.3	000002.516	Snf7	Snf7*->	Snf7	Snf7	169	LOC574573	eukaryota>metazoa>echinodermata	Strongylocentrotus purpuratus	-
XP_781609.3	000002.516	Snf7	Snf7*->	Snf7	Snf7	220	LOC576178	eukaryota>metazoa>echinodermata	Strongylocentrotus purpuratus	-
XP_011674707.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	220	LOC576178	eukaryota>metazoa>echinodermata	Strongylocentrotus purpuratus	-
XP_791916.3	000002.516	Snf7	Snf7*->	SIG+Snf7	Snf7	199	LOC587068	eukaryota>metazoa>echinodermata	Strongylocentrotus purpuratus	-
NP_647947.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	212	CHMP2B	eukaryota>metazoa>hexapoda	Drosophila melanogaster	-
NP_651455.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	256	Vps2	eukaryota>metazoa>hexapoda	Drosophila melanogaster	-
NP_649451.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	223	Vps24	eukaryota>metazoa>hexapoda	Drosophila melanogaster	-
NP_001303457.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	223	Vps24	eukaryota>metazoa>hexapoda	Drosophila melanogaster	-
ERG84832.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	216	ASU_04792	eukaryota>metazoa>nematoda	Ascaris suum	-
ERG79478.1	000002.516	Snf7	<-Snf7*	Snf7	Snf7	158	ASU_13553	eukaryota>metazoa>nematoda	Ascaris suum	-
Smed1000003202	000002.516	Snf7	-	Snf7	Snf7	210	Smed1000003202	eukaryota>metazoa>platyhelminthe	Schmidtea mediterranea	-
Smed1000006740	000002.516	Snf7	-	Snf7	Snf7	232	Smed1000006740	eukaryota>metazoa>platyhelminthe	Schmidtea mediterranea	-
Smed1000013124	000002.516	Snf7	-	Snf7	Snf7	239	Smed1000013124	eukaryota>metazoa>platyhelminthe	Schmidtea mediterranea	-
Bnat1000015196	000002.516	Snf7	-	Snf7	Snf7	209	Bnat1000015196	eukaryota>rhizaria	Bigelowiella natans	-
Pram1000010618	000002.516	Snf7	-	Snf7	Snf7	233	Pram1000010618	eukaryota>stramenopiles	Phytophthora ramorum	-
NP_001235502.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	156	LOC100526885	eukaryota>viridiplantae	Glycine max	-
XP_006586647.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	223	LOC100526885	eukaryota>viridiplantae	Glycine max	-
XP_001751591.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	210	PHYPADRAFT_111047	eukaryota>viridiplantae	Physcomitrella patens	-
XP_001772903.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	199	PHYPADRAFT_139309	eukaryota>viridiplantae	Physcomitrella patens	-
XP_001766951.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	235	PHYPADRAFT_165469	eukaryota>viridiplantae	Physcomitrella patens	-
XP_001762082.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	229	PHYPADRAFT_181789	eukaryota>viridiplantae	Physcomitrella patens	-
XP_001768641.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	233	PHYPADRAFT_187336	eukaryota>viridiplantae	Physcomitrella patens	-
XP_001751303.1	000002.516	Snf7	Snf7*->	SIG+Snf7	Snf7	227	PHYPADRAFT_54913	eukaryota>viridiplantae	Physcomitrella patens	-
XP_002989576.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	201	SELMODRAFT_130018	eukaryota>viridiplantae	Selaginella moellendorffii	-
XP_002979550.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	226	SELMODRAFT_153345	eukaryota>viridiplantae	Selaginella moellendorffii	-
XP_002983949.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	237	SELMODRAFT_180699	eukaryota>viridiplantae	Selaginella moellendorffii	-
XP_002977323.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	193	SELMODRAFT_228468	eukaryota>viridiplantae	Selaginella moellendorffii	-
XP_002960722.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	238	SELMODRAFT_75154	eukaryota>viridiplantae	Selaginella moellendorffii	-
NP_001150538.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	229	LOC100284170	eukaryota>viridiplantae	Zea mays	-
XP_008670002.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	223	LOC103647208	eukaryota>viridiplantae	Zea mays	-
XP_003082345.1	000002.516	Snf7	Snf7*->	Snf7	Snf7	226	CHM2A	eukaryota>viridiplantae>chlorophyta	Ostreococcus tauri	-
